DSI: iShares MSCI KLD 400 Social ETF
Inception Date: 2006-11-14
Fund Holdings as of: 2018-03-23
Total Assets Under Management (in thousands):	992400
Shares Outstanding: 10150000
Expense Ratio: 0.5%
Tracks This Index: MSCI KLD 400 Social Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: iShares
Structure: ETF
ETF Home Page: http://etfdb.com/etf/DSI


Holding,Symbol,Weighting
Microsoft Corp,MSFT,5.8944%
Facebook Inc,FB,3.5056%
Alphabet Inc,GOOG,2.9687%
Alphabet Inc,GOOGL,2.8329%
Intel Corp,INTC,2.131%
Cisco Systems Inc,CSCO,1.9351%
Procter & Gamble Co,PG,1.7774%
Verizon Communications Inc,VZ,1.7613%
Coca-Cola Co,KO,1.5806%
AbbVie Inc,ABBV,1.4344%
Walt Disney Co,DIS,1.372%
Merck & Co Inc,MRK,1.3422%
NVIDIA Corp,NVDA,1.3004%
Oracle Corp,ORCL,1.2932%
International Business Machines Corp,IBM,1.2078%
Netflix Inc,NFLX,1.2017%
3M Co,MMM,1.1841%
McDonald's Corp,MCD,1.1405%
Amgen Inc,AMGN,1.052%
Adobe Systems Inc,ADBE,0.98%
Booking Holdings Inc,BKNG,0.9599%
Union Pacific Corp,UNP,0.9572%
Bristol-Myers Squibb Co,BMY,0.9368%
Texas Instruments Inc,TXN,0.9218%
Gilead Sciences Inc,GILD,0.8771%
Accenture PLC,ACN,0.8348%
Schlumberger NV,SLB,0.8193%
Caterpillar Inc,CAT,0.7934%
Nike Inc,NKE,0.7823%
Starbucks Corp,SBUX,0.7393%
Salesforce.com Inc,CRM,0.7249%
Time Warner Inc,TWX,0.6657%
PNC Financial Services Group Inc,PNC,0.6464%
United Parcel Service Inc,UPS,0.644%
Lowe's Companies Inc,LOW,0.6427%
ConocoPhillips,COP,0.6374%
Celgene Corp,CELG,0.6165%
American Express Co,AXP,0.6165%
BlackRock Inc,BLK,0.5774%
Chubb Ltd,CB,0.5767%
Charles Schwab Corp,SCHW,0.5708%
American Tower Corp,AMT,0.5622%
Mondelez International Inc,MDLZ,0.5581%
Applied Materials Inc,AMAT,0.5453%
Colgate-Palmolive Co,CL,0.5261%
Becton Dickinson and Co,BDX,0.5151%
Biogen Inc,BIIB,0.5058%
CME Group Inc,CME,0.4959%
Bank of New York Mellon Corp,BK,0.4794%
Occidental Petroleum Corp,OXY,0.4628%
Automatic Data Processing Inc,ADP,0.4475%
Illinois Tool Works Inc,ITW,0.4461%
S&P Global Inc,SPGI,0.4406%
Simon Property Group Inc,SPG,0.4346%
Cognizant Technology Solutions Corp,CTSH,0.4308%
CSX Corp,CSX,0.4255%
Prudential Financial Inc,PRU,0.3935%
Marriott International Inc,MAR,0.3831%
Intuit Inc,INTU,0.38%
Marsh & McLennan Companies Inc,MMC,0.3789%
Vertex Pharmaceuticals Inc,VRTX,0.3768%
Praxair Inc,PX,0.3755%
Phillips 66,PSX,0.3749%
Cigna Corp,CI,0.3737%
Tesla Inc,TSLA,0.3719%
Deere & Co,DE,0.3713%
Zoetis Inc,ZTS,0.3623%
Norfolk Southern Corp,NSC,0.3482%
Humana Inc,HUM,0.3446%
Travelers Companies Inc,TRV,0.3413%
Kimberly-Clark Corp,KMB,0.3394%
Kraft Heinz Co,KHC,0.3376%
HP Inc,HPQ,0.3367%
State Street Corp,STT,0.335%
Marathon Petroleum Corp,MPC,0.3219%
Progressive Corp,PGR,0.3194%
Ecolab Inc,ECL,0.318%
Air Products and Chemicals Inc,APD,0.3172%
Eaton Corporation PLC,ETN,0.3171%
Aflac Inc,AFL,0.3145%
TE Connectivity Ltd,TEL,0.3138%
Lam Research Corp,LRCX,0.305%
Allstate Corp,ALL,0.3047%
Sherwin-Williams Co,SHW,0.3005%
Analog Devices Inc,ADI,0.2989%
Estee Lauder Companies Inc,EL,0.2976%
Prologis Inc,PLD,0.2953%
Equinix Inc,EQIX,0.2939%
Johnson Controls International PLC,JCI,0.2928%
Sysco Corp,SYY,0.2716%
Pioneer Natural Resources Co,PXD,0.2704%
Edwards Lifesciences Corp,EW,0.2631%
Hewlett Packard Enterprise Co,HPE,0.2595%
Roper Technologies Inc,ROP,0.2585%
HCA Healthcare Inc,HCA,0.2581%
PPG Industries Inc,PPG,0.2563%
Moody's Corp,MCO,0.2517%
Sempra Energy,SRE,0.2392%
Weyerhaeuser Co,WY,0.2371%
T. Rowe Price Group Inc,TROW,0.2341%
Autodesk Inc,ADSK,0.2329%
General Mills Inc,GIS,0.232%
Cummins Inc,CMI,0.2274%
VF Corp,VFC,0.224%
Corning Inc,GLW,0.223%
M&T Bank Corp,MTB,0.2227%
Fortive Corp,FTV,0.2193%
Archer Daniels Midland Co,ADM,0.2171%
Consolidated Edison Inc,ED,0.2165%
Stanley Black & Decker Inc,SWK,0.2151%
Parker-Hannifin Corp,PH,0.2088%
Rockwell Automation Inc,ROK,0.2038%
Microchip Technology Inc,MCHP,0.2024%
AvalonBay Communities Inc,AVB,0.2015%
ONEOK Inc,OKE,0.2005%
Equity Residential,EQR,0.1977%
Northern Trust Corp,NTRS,0.1975%
Dr Pepper Snapple Group Inc,DPS,0.1973%
Ameriprise Financial Inc,AMP,0.1969%
Agilent Technologies Inc,A,0.1961%
Digital Realty Trust Inc,DLR,0.1946%
Ingersoll-Rand PLC,IR,0.1929%
Regions Financial Corp,RF,0.1928%
KeyCorp,KEY,0.1891%
Citizens Financial Group Inc,CFG,0.1872%
Royal Caribbean Cruises Ltd,RCL,0.186%
SBA Communications Corp,SBAC,0.1836%
Cardinal Health Inc,CAH,0.1793%
Align Technology Inc,ALGN,0.1784%
WEC Energy Group Inc,WEC,0.1758%
Willis Towers Watson PLC,WLTW,0.1742%
Nucor Corp,NUE,0.174%
IHS Markit Ltd,INFO,0.1725%
Skyworks Solutions Inc,SWKS,0.1717%
Boston Properties Inc,BXP,0.1684%
Eversource Energy,ES,0.1662%
Hartford Financial Services Group Inc,HIG,0.1661%
Best Buy Co Inc,BBY,0.1659%
Fleetcor Technologies Inc,FLT,0.1658%
Centene Corp,CNC,0.1612%
Liberty Global PLC,LBTYK,0.1602%
Workday Inc,WDAY,0.1601%
Cerner Corp,CERN,0.1559%
Motorola Solutions Inc,MSI,0.1548%
Principal Financial Group Inc,PFG,0.1546%
Laboratory Corporation of America Holdings,LH,0.1529%
IDEXX Laboratories Inc,IDXX,0.1512%
Kellogg Co,K,0.15%
Devon Energy Corp,DVN,0.1489%
TD Ameritrade Holding Corp,AMTD,0.1484%
Clorox Co,CLX,0.1482%
Comerica Inc,CMA,0.1476%
Symantec Corp,SYMC,0.1472%
Waters Corp,WAT,0.146%
Fastenal Co,FAST,0.143%
WestRock Co,WRK,0.1429%
Dover Corp,DOV,0.1419%
Hilton Worldwide Holdings Inc,HLT,0.1389%
CenturyLink Inc,CTL,0.1382%
Dell Technologies Inc,DVMT,0.1376%
W W Grainger Inc,GWW,0.1355%
Mohawk Industries Inc,MHK,0.135%
United Rentals Inc,URI,0.1347%
First Republic Bank,FRC,0.1319%
American Water Works Company Inc,AWK,0.1309%
National Oilwell Varco Inc,NOV,0.1306%
Mettler-Toledo International Inc,MTD,0.1304%
Hess Corp,HES,0.1303%
Apache Corp,APA,0.13%
Loews Corp,L,0.1293%
Noble Energy Inc,NBL,0.129%
CBRE Group Inc,CBRE,0.1276%
Biomarin Pharmaceutical Inc,BMRN,0.1269%
AmerisourceBergen Corp,ABC,0.1265%
Citrix Systems Inc,CTXS,0.1264%
Resmed Inc,RMD,0.1257%
Quest Diagnostics Inc,DGX,0.1252%
IQVIA Holdings Inc,IQV,0.1251%
Xylem Inc,XYL,0.125%
J M Smucker Co,SJM,0.1241%
Marathon Oil Corp,MRO,0.1236%
Host Hotels & Resorts Inc,HST,0.1229%
TechnipFMC PLC,FTI,0.1221%
ANSYS Inc,ANSS,0.122%
Ball Corp,BLL,0.1183%
McCormick & Company Inc,MKC,0.1171%
Masco Corp,MAS,0.117%
C.H. Robinson Worldwide Inc,CHRW,0.1159%
Invesco Ltd,IVZ,0.1156%
SVB Financial Group,SIVB,0.1152%
Autoliv Inc,ALV,0.1151%
Newell Brands Inc,NWL,0.1145%
Cash Component,CASH,0.1134%
CMS Energy Corp,CMS,0.1121%
EQT Corp,EQT,0.1119%
Franklin Resources Inc,BEN,0.1119%
Arthur J Gallagher & Co,AJG,0.1115%
Tiffany & Co,TIF,0.1103%
Ulta Beauty Inc,ULTA,0.11%
Baker Hughes A GE Co,BHGE,0.1093%
Dentsply Sirona Inc,XRAY,0.1071%
Ally Financial Inc,ALLY,0.1058%
LKQ Corp,LKQ,0.1057%
Kansas City Southern,KSU,0.1039%
Vornado Realty Trust,VNO,0.1022%
Whirlpool Corp,WHR,0.1021%
Cooper Companies Inc,COO,0.1006%
Carmax Inc,KMX,0.1005%
CenterPoint Energy Inc,CNP,0.1003%
Varian Medical Systems Inc,VAR,0.0999%
PVH Corp,PVH,0.0994%
Expeditors International of Washington Inc,EXPD,0.0993%
International Flavors & Fragrances Inc,IFF,0.097%
Darden Restaurants Inc,DRI,0.0969%
HCP Inc,HCP,0.0965%
CA Inc,CA,0.0959%
Kohls Corp,KSS,0.0959%
Albemarle Corp,ALB,0.0955%
Cadence Design Systems Inc,CDNS,0.0951%
Hologic Inc,HOLX,0.095%
Copart Inc,CPRT,0.0946%
BorgWarner Inc,BWA,0.0945%
Bunge Ltd,BG,0.094%
Henry Schein Inc,HSIC,0.0932%
Domino's Pizza Inc,DPZ,0.09%
Delta Air Lines Inc,DAL,0.089%
Spirit AeroSystems Holdings Inc,SPR,0.0887%
Aramark,ARMK,0.0882%
Hasbro Inc,HAS,0.088%
Hormel Foods Corp,HRL,0.0871%
Michael Kors Holdings Ltd,KORS,0.0857%
A. O. Smith Corp,AOS,0.0849%
Ingredion Inc,INGR,0.0848%
F5 Networks Inc,FFIV,0.0846%
UDR Inc,UDR,0.0842%
Vail Resorts Inc,MTN,0.0842%
Alliant Energy Corp,LNT,0.0841%
Avery Dennison Corp,AVY,0.084%
Cognex Corp,CGNX,0.0838%
Jazz Pharmaceuticals PLC,JAZZ,0.0835%
Duke Realty Corp,DRE,0.0829%
Fortune Brands Home & Security Inc,FBHS,0.0811%
Trimble Inc,TRMB,0.0811%
Flex Ltd,FLEX,0.0808%
Advanced Micro Devices Inc,AMD,0.0804%
Voya Financial Inc,VOYA,0.0804%
Western Union Co,WU,0.0802%
Owens Corning,OC,0.0795%
VMware Inc,VMW,0.0791%
Sensata Technologies Holding NV,ST,0.0791%
Southwest Airlines Co,LUV,0.0771%
Snap-On Inc,SNA,0.0764%
Iron Mountain Inc,IRM,0.0762%
Federal Realty Investment Trust,FRT,0.0753%
Mosaic Co,MOS,0.0746%
Allegion PLC,ALLE,0.0728%
FactSet Research Systems Inc,FDS,0.0725%
Lennox International Inc,LII,0.072%
Fortinet Inc,FTNT,0.072%
NiSource Inc,NI,0.0718%
Signature Bank,SBNY,0.0705%
Jones Lang LaSalle Inc,JLL,0.0702%
Campbell Soup Co,CPB,0.0698%
Sealed Air Corp,SEE,0.0688%
Graco Inc,GGG,0.0688%
CommScope Holding Company Inc,COMM,0.0684%
Tractor Supply Co,TSCO,0.0683%
ManpowerGroup Inc,MAN,0.0676%
Gap Inc,GPS,0.0662%
Robert Half International Inc,RHI,0.0653%
AES Corp,AES,0.0652%
Garmin Ltd,GRMN,0.0651%
Middleby Corp,MIDD,0.0641%
Harley-Davidson Inc,HOG,0.0641%
Macerich Co,MAC,0.0635%
HanesBrands Inc,HBI,0.062%
Westinghouse Air Brake Technologies Corp,WAB,0.0616%
CIT Group Inc,CIT,0.0613%
Axalta Coating Systems Ltd,AXTA,0.0609%
WABCO Holdings Inc,WBC,0.0601%
Liberty Global PLC,LBTYA,0.0592%
New York Community Bancorp Inc,NYCB,0.0588%
People's United Financial Inc,PBCT,0.058%
Xerox Corp,XRX,0.0572%
Discovery Inc,DISCK,0.0544%
Pool Corp,POOL,0.0536%
Nordstrom Inc,JWN,0.0533%
Acuity Brands Inc,AYI,0.0526%
Liberty Property Trust,LPT,0.0525%
Energen Corp,EGN,0.0518%
Flowserve Corp,FLS,0.0511%
Foot Locker Inc,FL,0.0503%
Bio-Techne Corp,TECH,0.0484%
Lincoln Electric Holdings Inc,LECO,0.0483%
Quanta Services Inc,PWR,0.0479%
MDU Resources Group Inc,MDU,0.0466%
MEDNAX Inc,MD,0.0466%
Newfield Exploration Co,NFX,0.0448%
Teradata Corp,TDC,0.0442%
Sonoco Products Co,SON,0.0429%
Umpqua Holdings Corp,UMPQ,0.0427%
Envision Healthcare Corp,EVHC,0.042%
Mattel Inc,MAT,0.0418%
Core Laboratories NV,CLB,0.0418%
EMCOR Group Inc,EME,0.041%
Genesee & Wyoming Inc,GWR,0.0402%
Dun & Bradstreet Corp,DNB,0.0399%
WGL Holdings Inc,WGL,0.0394%
Forest City Realty Trust Inc,FCE.A,0.0391%
Air Lease Corp,AL,0.0374%
On Assignment Inc,ASGN,0.0365%
AGCO Corp,AGCO,0.0364%
Sprint Corp,S,0.0363%
Ryder System Inc,R,0.0343%
Realogy Holdings Corp,RLGY,0.033%
Bank of Hawaii Corp,BOH,0.0321%
Avis Budget Group Inc,CAR,0.0317%
Deluxe Corp,DLX,0.031%
Legg Mason Inc,LM,0.0308%
New Jersey Resources Corp,NJR,0.0303%
Avista Corp,AVA,0.0301%
Discovery Inc,DISCA,0.03%
Hain Celestial Group Inc,HAIN,0.0287%
Timken Co,TKR,0.0286%
Cathay General Bancorp,CATY,0.0278%
New York Times Co,NYT,0.0275%
PotlatchDeltic Corp,PCH,0.0274%
Under Armour Inc,UAA,0.0271%
John Wiley & Sons Inc,JW.A,0.0267%
Choice Hotels International Inc,CHH,0.0267%
Deckers Outdoor Corp,DECK,0.0261%
Darling Ingredients Inc,DAR,0.026%
Tetra Tech Inc,TTEK,0.0253%
Wolverine World Wide Inc,WWW,0.0253%
Corporate Office Properties Trust,OFC,0.0252%
Applied Industrial Technologies Inc,AIT,0.0249%
Domtar Corp,UFS,0.0245%
Under Armour Inc,UA,0.0238%
AutoNation Inc,AN,0.0233%
Jack in the Box Inc,JACK,0.0228%
Minerals Technologies Inc,MTX,0.0223%
Shutterfly Inc,SFLY,0.0222%
Itron Inc,ITRI,0.022%
HB Fuller Co,FUL,0.022%
TESARO Inc,TSRO,0.0215%
Tupperware Brands Corp,TUP,0.0213%
Amerco,UHAL,0.0212%
QEP Resources Inc,QEP,0.0211%
Old National Bancorp,ONB,0.0209%
Columbia Sportswear Co,COLM,0.0207%
Southwestern Energy Co,SWN,0.0207%
Builders FirstSource Inc,BLDR,0.0204%
Signet Jewelers Ltd,SIG,0.0203%
Granite Construction Inc,GVA,0.0202%
International Bancshares Corp,IBOC,0.0201%
United Natural Foods Inc,UNFI,0.0191%
Compass Minerals International Inc,CMP,0.019%
Convergys Corp,CVG,0.019%
Ormat Technologies Inc,ORA,0.0186%
Exponent Inc,EXPO,0.0177%
Select Medical Holdings Corp,SEM,0.0176%
Patterson Companies Inc,PDCO,0.0174%
Plantronics Inc,PLT,0.0173%
Meritor Inc,MTOR,0.0161%
Meritage Homes Corp,MTH,0.016%
Callaway Golf Co,ELY,0.0144%
Northwest Natural Gas Co,NWN,0.0139%
HNI Corp,HNI,0.0138%
Interface Inc,TILE,0.0134%
Caleres Inc,CAL,0.0129%
GameStop Corp,GME,0.0127%
La-Z-Boy Inc,LZB,0.0126%
ACCO Brands Corp,ACCO,0.0121%
Heartland Financial USA Inc,HTLF,0.0119%
H&E Equipment Services Inc,HEES,0.0113%
