VAW: Vanguard Materials ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2018-03-23
Total Assets Under Management (in thousands):	2656701
Shares Outstanding: 20591000
Expense Ratio: 0.1%
Tracks This Index: MSCI US Investable Market Materials 25/50 Index
ETFdb.com Category: Materials
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VAW


Holding,Symbol,Weighting
DowDuPont Inc,DWDP,16.8257%
Monsanto Co,MON,5.8817%
Praxair Inc,PX,4.6543%
LyondellBasell Industries NV,LYB,3.9979%
Air Products and Chemicals Inc,APD,3.9374%
Ecolab Inc,ECL,3.9213%
Sherwin-Williams Co,SHW,3.7285%
PPG Industries Inc,PPG,3.177%
Freeport-McMoRan Inc,FCX,2.7473%
Newmont Mining Corp,NEM,2.3572%
International Paper Co,IP,2.2423%
Nucor Corp,NUE,2.1547%
WestRock Co,WRK,1.7713%
Vulcan Materials Co,VMC,1.7448%
Eastman Chemical Co,EMN,1.6847%
Celanese Corp,CE,1.4965%
Martin Marietta Materials Inc,MLM,1.4743%
Ball Corp,BLL,1.4703%
International Flavors & Fragrances Inc,IFF,1.1933%
Packaging Corp of America,PKG,1.1758%
Albemarle Corp,ALB,1.1747%
FMC Corp,FMC,1.1564%
Steel Dynamics Inc,STLD,1.1442%
Avery Dennison Corp,AVY,1.0349%
Chemours Co,CC,0.9948%
CF Industries Holdings Inc,CF,0.9816%
Alcoa Corp,AA,0.9431%
Mosaic Co,MOS,0.9223%
Sealed Air Corp,SEE,0.8453%
Berry Global Group Inc,BERY,0.7907%
Axalta Coating Systems Ltd,AXTA,0.7513%
Crown Holdings Inc,CCK,0.7397%
RPM International Inc,RPM,0.7153%
Reliance Steel & Aluminum Co,RS,0.6859%
United States Steel Corp,X,0.6773%
Huntsman Corp,HUN,0.6728%
Royal Gold Inc,RGLD,0.6344%
Aptargroup Inc,ATR,0.6165%
Olin Corp,OLN,0.576%
Eagle Materials Inc,EXP,0.552%
Sonoco Products Co,SON,0.5288%
Graphic Packaging Holding Co,GPK,0.5147%
Valvoline Inc,VVV,0.5085%
Westlake Chemical Corp,WLK,0.498%
Ashland Global Holdings Inc,ASH,0.4807%
W. R. Grace & Co,GRA,0.467%
Louisiana-Pacific Corp,LPX,0.4616%
Bemis Company Inc,BMS,0.4406%
NewMarket Corp,NEU,0.4238%
Scotts Miracle-Gro Co,SMG,0.4158%
Cabot Corp,CBT,0.3933%
PolyOne Corp,POL,0.3826%
Summit Materials Inc,SUM,0.3778%
Owens-Illinois Inc,OI,0.3746%
Trinseo SA,TSE,0.3694%
Ingevity Corp,NGVT,0.3529%
KapStone Paper and Packaging Corp,KS,0.3428%
Allegheny Technologies Inc,ATI,0.3355%
Sensient Technologies Corp,SXT,0.3349%
Domtar Corp,UFS,0.2992%
Balchem Corp,BCPC,0.2911%
HB Fuller Co,FUL,0.2746%
Commercial Metals Co,CMC,0.2711%
Minerals Technologies Inc,MTX,0.2692%
Platform Specialty Products Corp,PAH,0.2516%
Silgan Holdings Inc,SLGN,0.2387%
GCP Applied Technologies Inc,GCP,0.2355%
Compass Minerals International Inc,CMP,0.2329%
Carpenter Technology Corp,CRS,0.2282%
Quaker Chemical Corp,KWR,0.2219%
Worthington Industries Inc,WOR,0.2201%
Cleveland-Cliffs Inc,CLF,0.2136%
Ferro Corp,FOE,0.2114%
Kaiser Aluminum Corp,KALU,0.1922%
Innospec Inc,IOSP,0.1896%
Tronox Ltd,TROX,0.1894%
Stepan Co,SCL,0.1875%
Boise Cascade Co,BCC,0.1714%
Coeur Mining Inc,CDE,0.1709%
Kraton Corp,KRA,0.1674%
Hecla Mining Co,HL,0.1661%
AK Steel Holding Corp,AKS,0.158%
Neenah Inc,NP,0.1508%
Greif Inc,GEF,0.1462%
A Schulman Inc,SHLM,0.1455%
Schweitzer-Mauduit International Inc,SWM,0.1342%
AdvanSix Inc,ASIX,0.1183%
Materion Corp,MTRN,0.1163%
Rayonier Advanced Materials Inc,RYAM,0.1141%
Warrior Met Coal Inc,HCC,0.1129%
US Concrete Inc,USCR,0.1102%
P H Glatfelter Co,GLT,0.1012%
Schnitzer Steel Industries Inc,SCHN,0.1008%
Century Aluminum Co,CENX,0.0995%
Chase Corp,CCF,0.0982%
Koppers Holdings Inc,KOP,0.0969%
Innophos Holdings Inc,IPHS,0.0874%
SunCoke Energy Inc,SXC,0.0707%
Clearwater Paper Corp,CLW,0.0689%
McEwen Mining Inc,MUX,0.0653%
TimkenSteel Corp,TMST,0.0648%
Mercer International Inc,MERC,0.0642%
American Vanguard Corp,AVD,0.0636%
Kronos Worldwide Inc,KRO,0.0594%
Myers Industries Inc,MYE,0.0567%
Resolute Forest Products Inc,RFP,0.0556%
Haynes International Inc,HAYN,0.0534%
OMNOVA Solutions Inc,OMN,0.0532%
Tredegar Corp,TG,0.0475%
Intrepid Potash Inc,IPI,0.0408%
Flotek Industries Inc,FTK,0.0403%
FutureFuel Corp,FF,0.0371%
Hawkins Inc,HWKN,0.0355%
AgroFresh Solutions Inc,AGFS,0.0189%
United States Lime & Minerals Inc,USLM,0.0187%
Forterra Inc,FRTA,0.0184%
LSB Industries Inc,LXU,0.0175%
Ryerson Holding Corp,RYI,0.015%
Cash Component,CASH,0.0022%
