VB: Vanguard Small Cap ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2018-03-23
Total Assets Under Management (in thousands):	21802537
Shares Outstanding: 148115000
Expense Ratio: 0.06%
Tracks This Index: CRSP US Small Cap Index
ETFdb.com Category: Small Cap Growth Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VB


Holding,Symbol,Weighting
IDEX Corp,IEX,0.3163%
CDW Corp,CDW,0.3098%
ON Semiconductor Corp,ON,0.3093%
TransUnion,TRU,0.3032%
Copart Inc,CPRT,0.3002%
Old Dominion Freight Line Inc,ODFL,0.2906%
Leidos Holdings Inc,LDOS,0.2845%
Keysight Technologies Inc,KEYS,0.2772%
Steel Dynamics Inc,STLD,0.2767%
Spirit AeroSystems Holdings Inc,SPR,0.2764%
bluebird bio Inc,BLUE,0.2722%
Jack Henry & Associates Inc,JKHY,0.2674%
A. O. Smith Corp,AOS,0.2629%
PTC Inc,PTC,0.2621%
SS&C Technologies Holdings Inc,SSNC,0.2613%
Teradyne Inc,TER,0.2604%
Vail Resorts Inc,MTN,0.2601%
NRG Energy Inc,NRG,0.2599%
Atmos Energy Corp,ATO,0.2571%
Burlington Stores Inc,BURL,0.2551%
East West Bancorp Inc,EWBC,0.2547%
GrubHub Inc,GRUB,0.2521%
Chemours Co,CC,0.2491%
WellCare Health Plans Inc,WCG,0.2452%
Nektar Therapeutics,NKTR,0.2396%
Veeva Systems Inc,VEEV,0.2387%
PerkinElmer Inc,PKI,0.2376%
GoDaddy Inc,GDDY,0.2349%
Lennox International Inc,LII,0.2302%
Allegion PLC,ALLE,0.2298%
Fortinet Inc,FTNT,0.2273%
HEICO Corp,HEI,0.2256%
Marketaxess Holdings Inc,MKTX,0.225%
American Financial Group Inc,AFG,0.2239%
Orbital ATK Inc,OA,0.2235%
Microsemi Corp,MSCC,0.2229%
STERIS plc,STE,0.2211%
Graco Inc,GGG,0.2192%
Tyler Technologies Inc,TYL,0.2182%
CommScope Holding Company Inc,COMM,0.2157%
UGI Corp,UGI,0.2149%
Neurocrine Biosciences Inc,NBIX,0.2122%
Zebra Technologies Corp,ZBRA,0.2115%
Signature Bank,SBNY,0.2103%
KAR Auction Services Inc,KAR,0.2082%
US Foods Holding Corp,USFD,0.2073%
Westar Energy Inc,WR,0.2062%
Nordson Corp,NDSN,0.204%
Berry Global Group Inc,BERY,0.2023%
Ultimate Software Group Inc,ULTI,0.2008%
Middleby Corp,MIDD,0.2004%
SAGE Therapeutics Inc,SAGE,0.199%
CSRA Inc,CSRA,0.1974%
Kilroy Realty Corp,KRC,0.1974%
Servicemaster Global Holdings Inc,SERV,0.1969%
Caesars Entertainment Corp,CZR,0.1957%
Exelixis Inc,EXEL,0.195%
Equity LifeStyle Properties Inc,ELS,0.1946%
JetBlue Airways Corp,JBLU,0.1945%
Sun Communities Inc,SUI,0.194%
Gaming and Leisure Properties Inc,GLPI,0.1923%
HD Supply Holdings Inc,HDS,0.1903%
Parsley Energy Inc,PE,0.1899%
Service Corporation International,SCI,0.1887%
WEX Inc,WEX,0.1886%
BWX Technologies Inc,BWXT,0.188%
WP Carey Inc,WPC,0.1879%
Great Plains Energy Inc,GXP,0.1876%
West Pharmaceutical Services Inc,WST,0.1861%
Carlisle Companies Inc,CSL,0.1854%
Pinnacle Foods Inc,PF,0.1844%
Knight-Swift Transportation Holdings Inc,KNX,0.1836%
MKS Instruments Inc,MKSI,0.1829%
RPM International Inc,RPM,0.1822%
Diamondback Energy Inc,FANG,0.1807%
PacWest Bancorp,PACW,0.1801%
Gentex Corp,GNTX,0.1786%
Liberty Media Corp,FWONK,0.1784%
Teledyne Technologies Inc,TDY,0.1783%
First American Financial Corp,FAF,0.1777%
Toro Co,TTC,0.1773%
Broadridge Financial Solutions Inc,BR,0.1769%
Apartment Investment and Management Co,AIV,0.1765%
Guidewire Software Inc,GWRE,0.1764%
Toll Brothers Inc,TOL,0.1759%
Eaton Vance Corp,EV,0.1759%
IAC/InterActiveCorp,IAC,0.1755%
Janus Henderson Group PLC,0RPW,0.1746%
First Horizon National Corp,FHN,0.1741%
XPO Logistics Inc,XPO,0.1736%
Herbalife Ltd,HLF,0.1735%
DexCom Inc,DXCM,0.1734%
Ionis Pharmaceuticals Inc,IONS,0.1732%
United States Steel Corp,X,0.173%
Abiomed Inc,ABMD,0.173%
National Instruments Corp,NATI,0.1724%
Huntsman Corp,HUN,0.1713%
Zillow Group Inc,Z,0.1712%
Brown & Brown Inc,BRO,0.1701%
Proofpoint Inc,PFPT,0.1699%
Cullen/Frost Bankers Inc,CFR,0.1683%
Teleflex Inc,TFX,0.1681%
Aqua America Inc,WTR,0.1679%
Hexcel Corp,HXL,0.1675%
WPX Energy Inc,WPX,0.1674%
National Retail Properties Inc,NNN,0.1664%
Leggett & Platt Inc,LEG,0.166%
Douglas Emmett Inc,DEI,0.166%
Liberty Property Trust,LPT,0.1658%
EPAM Systems Inc,EPAM,0.1653%
Donaldson Company Inc,DCI,0.1652%
Bank of the Ozarks,OZRK,0.1651%
Oshkosh Corp,OSK,0.1642%
Live Nation Entertainment Inc,LYV,0.1636%
Commerce Bancshares Inc,CBSH,0.1628%
Energen Corp,EGN,0.1627%
Royal Gold Inc,RGLD,0.1627%
athenahealth Inc,ATHN,0.162%
Aspen Technology Inc,AZPN,0.1609%
New Residential Investment Corp,NRZ,0.1608%
Hill-Rom Holdings Inc,HRC,0.1608%
First Solar Inc,FSLR,0.1604%
Lincoln Electric Holdings Inc,LECO,0.1601%
Bright Horizons Family Solutions Inc,BFAM,0.1595%
AECOM,ACM,0.1595%
Thor Industries Inc,THO,0.1588%
Cypress Semiconductor Corp,CY,0.1585%
Cavium Inc,CAVM,0.1581%
Pool Corp,POOL,0.1579%
Synovus Financial Corp,SNV,0.1574%
Bio-Techne Corp,TECH,0.1564%
Aptargroup Inc,ATR,0.1562%
Renaissancere Holdings Ltd,RNR,0.156%
Curtiss-Wright Corp,CW,0.1556%
Dunkin' Brands Group Inc,DNKN,0.1554%
Exact Sciences Corp,EXAS,0.1552%
H & R Block Inc,HRB,0.1547%
Western Alliance Bancorp,WAL,0.1544%
MDU Resources Group Inc,MDU,0.1543%
Foot Locker Inc,FL,0.1538%
Lamar Advertising Co,LAMR,0.1538%
Watsco Inc,WSO,0.1533%
Catalent Inc,CTLT,0.1528%
Encompass Health Corp,EHC,0.1523%
Nutanix Inc,NTNX,0.1521%
Old Republic International Corp,ORI,0.1517%
Tableau Software Inc,DATA,0.1511%
Vistra Energy Corp,VST,0.151%
Starwood Property Trust Inc,STWD,0.1506%
Bio Rad Laboratories Inc,BIO,0.1505%
Omega Healthcare Investors Inc,OHI,0.1505%
Vectren Corp,VVC,0.1503%
Booz Allen Hamilton Holding Corp,BAH,0.1502%
Brunswick Corp,BC,0.1499%
Healthcare Trust Of America Inc,HTA,0.1495%
DCT Industrial Trust Inc,DCT,0.149%
Quanta Services Inc,PWR,0.149%
Howard Hughes Corp,HHC,0.1488%
Packaging Corp of America,PKG,0.1482%
Paycom Software Inc,PAYC,0.1479%
MEDNAX Inc,MD,0.1476%
Validus Holdings Ltd,VR,0.1475%
Charles River Laboratories International Inc,CRL,0.1472%
Targa Resources Corp,TRGP,0.1472%
Olin Corp,OLN,0.1471%
Entegris Inc,ENTG,0.1469%
Grand Canyon Education Inc,LOPE,0.1459%
LPL Financial Holdings Inc,LPLA,0.1456%
Domino's Pizza Inc,DPZ,0.1444%
Carter's Inc,CRI,0.1438%
