VCR: Vanguard Consumer Discretionary ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2018-03-23
Total Assets Under Management (in thousands):	2675512
Shares Outstanding: 16732000
Expense Ratio: 0.1%
Tracks This Index: MSCI US Investable Market Consumer Discretionary 25/50 Index
ETFdb.com Category: Consumer Discretionary Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VCR


Holding,Symbol,Weighting
Amazon.com Inc,AMZN,17.5757%
Home Depot Inc,HD,5.7591%
Comcast Corp,CMCSA,4.4427%
Walt Disney Co,DIS,4.2729%
Netflix Inc,NFLX,3.7361%
McDonald's Corp,MCD,3.5478%
Booking Holdings Inc,BKNG,2.9261%
Nike Inc,NKE,2.4351%
Starbucks Corp,SBUX,2.3011%
Time Warner Inc,TWX,2.0696%
Lowe's Companies Inc,LOW,1.9988%
Charter Communications Inc,CHTR,1.6723%
TJX Companies Inc,TJX,1.4499%
General Motors Co,GM,1.2911%
Marriott International Inc,MAR,1.19%
Tesla Inc,TSLA,1.1607%
Ford Motor Co,F,1.1239%
Twenty-First Century Fox Inc,FOXA,1.093%
Target Corp,TGT,1.0071%
Ross Stores Inc,ROST,0.828%
Las Vegas Sands Corp,LVS,0.7864%
Yum! Brands Inc,YUM,0.7517%
Dollar General Corp,DG,0.7071%
VF Corp,VFC,0.6977%
Carnival Corp,CCL,0.6436%
Dollar Tree Inc,DLTR,0.6259%
Aptiv PLC,APTV,0.619%
O'Reilly Automotive Inc,ORLY,0.586%
Royal Caribbean Cruises Ltd,RCL,0.5758%
Best Buy Co Inc,BBY,0.515%
Autozone Inc,AZO,0.5034%
Liberty Global PLC,LBTYK,0.4982%
CBS Corp,CBS,0.4873%
Lennar Corp,LEN,0.4766%
Omnicom Group Inc,OMC,0.4652%
Twenty-First Century Fox Inc,FOX,0.4473%
D.R. Horton Inc,DHI,0.4426%
MGM Resorts International,MGM,0.4324%
Hilton Worldwide Holdings Inc,HLT,0.4304%
Tapestry Inc,TPR,0.4221%
Mohawk Industries Inc,MHK,0.4173%
Wynn Resorts Ltd,WYNN,0.417%
Expedia Inc,EXPE,0.3841%
Genuine Parts Co,GPC,0.3639%
Autoliv Inc,ALV,0.3621%
Newell Brands Inc,NWL,0.3567%
Lear Corp,LEA,0.3543%
Tiffany & Co,TIF,0.3424%
Ulta Beauty Inc,ULTA,0.3352%
LKQ Corp,LKQ,0.3297%
Liberty Interactive Corp,QRTEA,0.3276%
Wyndham Worldwide Corp,WYN,0.3266%
Whirlpool Corp,WHR,0.3152%
Norwegian Cruise Line Holdings Ltd,NCLH,0.3132%
Carmax Inc,KMX,0.3102%
PVH Corp,PVH,0.3102%
Viacom Inc,VIAB,0.305%
NVR Inc,NVR,0.3049%
Kohls Corp,KSS,0.3002%
Darden Restaurants Inc,DRI,0.2985%
BorgWarner Inc,BWA,0.2937%
Sirius XM Holdings Inc,SIRI,0.285%
Domino's Pizza Inc,DPZ,0.2831%
Aramark,ARMK,0.2749%
Hasbro Inc,HAS,0.2705%
Michael Kors Holdings Ltd,KORS,0.2666%
Vail Resorts Inc,MTN,0.2622%
L Brands Inc,LB,0.2601%
Liberty Broadband Corp,LBRDK,0.2579%
Burlington Stores Inc,BURL,0.2511%
Interpublic Group of Companies Inc,IPG,0.246%
DISH Network Corp,DISH,0.2401%
Chipotle Mexican Grill Inc,CMG,0.2383%
Macy's Inc,M,0.2379%
Advance Auto Parts Inc,AAP,0.2345%
Lululemon Athletica Inc,LULU,0.2311%
News Corp,NWSA,0.2245%
PulteGroup Inc,PHM,0.2176%
Tractor Supply Co,TSCO,0.2134%
Liberty Media Corp,LSXMK,0.2084%
Gap Inc,GPS,0.2081%
Garmin Ltd,GRMN,0.2014%
Harley-Davidson Inc,HOG,0.2007%
Service Corporation International,SCI,0.1992%
Servicemaster Global Holdings Inc,SERV,0.194%
HanesBrands Inc,HBI,0.1931%
Polaris Industries Inc,PII,0.1926%
Toll Brothers Inc,TOL,0.1887%
Goodyear Tire & Rubber Co,GT,0.1879%
Liberty Global PLC,LBTYA,0.1838%
Gentex Corp,GNTX,0.1826%
Liberty Media Corp,FWONK,0.1767%
Live Nation Entertainment Inc,LYV,0.1741%
Ralph Lauren Corp,RL,0.1692%
Discovery Inc,DISCK,0.1688%
Nordstrom Inc,JWN,0.1666%
Thor Industries Inc,THO,0.1659%
Pool Corp,POOL,0.1635%
Leggett & Platt Inc,LEG,0.1627%
Bright Horizons Family Solutions Inc,BFAM,0.1625%
Foot Locker Inc,FL,0.1561%
Adient PLC,ADNT,0.1541%
Dunkin' Brands Group Inc,DNKN,0.1536%
H & R Block Inc,HRB,0.1528%
Brunswick Corp,BC,0.1484%
Skechers USA Inc,SKX,0.1464%
Carter's Inc,CRI,0.1403%
GCI Liberty Inc,GLIBA,0.1377%
Grand Canyon Education Inc,LOPE,0.1343%
TripAdvisor Inc,TRIP,0.1307%
Mattel Inc,MAT,0.1305%
Madison Square Garden Co,MSG,0.1294%
Six Flags Entertainment Corp,SIX,0.1213%
Delphi Technologies PLC,DLPH,0.1187%
