VDC: Vanguard Consumer Staples ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2018-03-23
Total Assets Under Management (in thousands):	3721572
Shares Outstanding: 27946000
Expense Ratio: 0.1%
Tracks This Index: MSCI US Investable Market Consumer Staples 25/50 Index
ETFdb.com Category: Consumer Staples Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VDC


Holding,Symbol,Weighting
Procter & Gamble Co,PG,10.2096%
Coca-Cola Co,KO,8.9506%
PepsiCo Inc,PEP,7.8524%
Philip Morris International Inc,PM,7.7131%
Walmart Inc,WMT,6.5705%
Altria Group Inc,MO,4.4259%
Costco Wholesale Corp,COST,4.3384%
Mondelez International Inc,MDLZ,3.4753%
CVS Health Corp,CVS,3.3636%
Colgate-Palmolive Co,CL,3.202%
Walgreens Boots Alliance Inc,WBA,3.1771%
Constellation Brands Inc,STZ,2.1267%
Kimberly-Clark Corp,KMB,2.0992%
Kraft Heinz Co,KHC,1.9797%
Estee Lauder Companies Inc,EL,1.8341%
Sysco Corp,SYY,1.7726%
General Mills Inc,GIS,1.4661%
Archer Daniels Midland Co,ADM,1.4046%
Dr Pepper Snapple Group Inc,DPS,1.2787%
Monster Beverage Corp,MNST,1.2688%
Tyson Foods Inc,TSN,1.2361%
Kroger Co,KR,1.1997%
Kellogg Co,K,0.9443%
Clorox Co,CLX,0.9104%
Brown-Forman Corp,BF.B,0.8885%
Conagra Brands Inc,CAG,0.8603%
Hershey Co,HSY,0.8255%
J M Smucker Co,SJM,0.7754%
Molson Coors Brewing Co,TAP,0.7691%
McCormick & Company Inc,MKC,0.7223%
Church & Dwight Co Inc,CHD,0.7211%
Bunge Ltd,BG,0.6144%
Hormel Foods Corp,HRL,0.5545%
Ingredion Inc,INGR,0.5504%
Coty Inc,COTY,0.5142%
Campbell Soup Co,CPB,0.4647%
Lamb Weston Holdings Inc,LW,0.4366%
Herbalife Ltd,HLF,0.3924%
Pinnacle Foods Inc,PF,0.3785%
Snyder's-Lance Inc,LNCE,0.3157%
NU Skin Enterprises Inc,NUS,0.312%
US Foods Holding Corp,USFD,0.3092%
Post Holdings Inc,POST,0.2911%
Caseys General Stores Inc,CASY,0.2704%
Flowers Foods Inc,FLO,0.2542%
Energizer Holdings Inc,ENR,0.2474%
Darling Ingredients Inc,DAR,0.2312%
Sprouts Farmers Market Inc,SFM,0.2287%
Hain Celestial Group Inc,HAIN,0.2161%
Sanderson Farms Inc,SAFM,0.2068%
Edgewell Personal Care Co,EPC,0.182%
Medifast Inc,MED,0.1806%
Spectrum Brands Holdings Inc,SPB,0.1798%
Central Garden & Pet Co,CENTA,0.1757%
Lancaster Colony Corp,LANC,0.1724%
WD-40 Co,WDFC,0.1638%
J & J Snack Foods Corp,JJSF,0.1604%
United Natural Foods Inc,UNFI,0.1577%
Vector Group Ltd,VGR,0.1517%
Calavo Growers Inc,CVGW,0.1476%
Pilgrims Pride Corp,PPC,0.1391%
TreeHouse Foods Inc,THS,0.1372%
Boston Beer Company Inc,SAM,0.1361%
Blue Buffalo Pet Products Inc,BUFF,0.1331%
Fresh Del Monte Produce Inc,FDP,0.1318%
Central Garden & Pet Co,CENT,0.1301%
B&G Foods Inc,BGS,0.1293%
PriceSmart Inc,PSMT,0.1275%
Inter Parfums Inc,IPAR,0.1271%
HRG Group Inc,HRG,0.1221%
USANA Health Sciences Inc,USNA,0.1134%
Cal-Maine Foods Inc,CALM,0.1133%
Freshpet Inc,FRPT,0.1065%
Performance Food Group Co,PFGC,0.1059%
Avon Products Inc,AVP,0.1028%
Cash Component,CASH,0.1015%
Andersons Inc,ANDE,0.0936%
Universal Corp,UVV,0.0935%
Chefs' Warehouse Inc,CHEF,0.0925%
Rite Aid Corp,RAD,0.0907%
Coca-Cola Bottling Co Consolidated,COKE,0.0875%
Tootsie Roll Industries Inc,TR,0.0794%
SpartanNash Co,SPTN,0.0714%
Weis Markets Inc,WMK,0.0705%
Landec Corp,LNDC,0.0674%
Farmer Bros Co,FARM,0.0647%
Dean Foods Co,DF,0.0638%
Seneca Foods Corp,SENEA,0.0599%
Village Super Market Inc,VLGEA,0.0567%
Revlon Inc,REV,0.051%
Ingles Markets Inc,IMKTA,0.0503%
Supervalu Inc,SVU,0.0389%
Smart & Final Stores Inc,SFS,0.0255%
Natural Grocers By Vitamin Cottage Inc,NGVC,0.0213%
MGP Ingredients Inc,MGPI,0.013%
National Beverage Corp,FIZZ,0.0106%
John B Sanfilippo & Son Inc,JBSS,0.0069%
Hostess Brands Inc,TWNK,0.0042%
Natural Health Trends Corp,NHTC,0.004%
e.l.f. Beauty Inc,ELF,0.0034%
