VDE: Vanguard Energy ETF
Inception Date: 2004-09-23
Fund Holdings as of: 2018-03-23
Total Assets Under Management (in thousands):	3900702
Shares Outstanding: 42375000
Expense Ratio: 0.1%
Tracks This Index: MSCI US Investable Market Energy 25/50 Index
ETFdb.com Category: Energy Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VDE


Holding,Symbol,Weighting
Exxon Mobil Corp,XOM,20.891%
Chevron Corp,CVX,14.5145%
Schlumberger NV,SLB,6.0091%
ConocoPhillips,COP,4.6702%
EOG Resources Inc,EOG,4.1401%
Occidental Petroleum Corp,OXY,3.3911%
Phillips 66,PSX,2.7464%
Halliburton Co,HAL,2.7416%
Valero Energy Corp,VLO,2.6986%
Marathon Petroleum Corp,MPC,2.3547%
Anadarko Petroleum Corp,APC,2.2784%
Kinder Morgan Inc,KMI,2.0405%
Pioneer Natural Resources Co,PXD,1.9821%
Concho Resources Inc,CXO,1.543%
ONEOK Inc,OKE,1.473%
Williams Companies Inc,WMB,1.4341%
Devon Energy Corp,DVN,1.0873%
Andeavor,ANDV,1.0093%
Hess Corp,HES,0.9574%
National Oilwell Varco Inc,NOV,0.9553%
Apache Corp,APA,0.9542%
Noble Energy Inc,NBL,0.9461%
Marathon Oil Corp,MRO,0.9056%
TechnipFMC PLC,FTI,0.8947%
EQT Corp,EQT,0.8239%
Baker Hughes A GE Co,BHGE,0.8039%
Diamondback Energy Inc,FANG,0.766%
Cabot Oil & Gas Corp,COG,0.7356%
Cheniere Energy Inc,LNG,0.7114%
Targa Resources Corp,TRGP,0.6746%
Cimarex Energy Co,XEC,0.5987%
HollyFrontier Corp,HFC,0.5453%
Helmerich and Payne Inc,HP,0.4879%
Parsley Energy Inc,PE,0.4154%
WPX Energy Inc,WPX,0.3892%
Energen Corp,EGN,0.3776%
Continental Resources Inc,CLR,0.3675%
Newfield Exploration Co,NFX,0.3289%
Core Laboratories NV,CLB,0.3125%
RSP Permian Inc,RSPP,0.3036%
Transocean Ltd,RIG,0.3029%
Antero Resources Corp,AR,0.2892%
Murphy Oil Corp,MUR,0.2865%
Patterson-UTI Energy Inc,PTEN,0.2758%
Range Resources Corp,RRC,0.2458%
PBF Energy Inc,PBF,0.2441%
Peabody Energy Corp,BTU,0.2417%
Plains GP Holdings LP,PAGP,0.2164%
Delek US Holdings Inc,DK,0.2107%
Whiting Petroleum Corp,WLL,0.2057%
PDC Energy Inc,PDCE,0.1937%
Matador Resources Co,MTDR,0.1921%
CNX Resources Corp,CNX,0.1919%
Chesapeake Energy Corp,CHK,0.1887%
Callon Petroleum Co,CPE,0.164%
Weatherford International PLC,WFT,0.1604%
Centennial Resource Development Inc,CDEV,0.1598%
Nabors Industries Ltd,NBR,0.1578%
QEP Resources Inc,QEP,0.1552%
Southwestern Energy Co,SWN,0.1528%
Oasis Petroleum Inc,OAS,0.1511%
SRC Energy Inc,SRCI,0.1483%
U.S. Silica Holdings Inc,SLCA,0.1439%
Ensco PLC,ESV,0.1395%
McDermott International Inc,MDR,0.1286%
Oceaneering International Inc,OII,0.1284%
SM Energy Co,SM,0.1267%
Arch Coal Inc,ARCH,0.1236%
Dril-Quip Inc,DRQ,0.1174%
C&J Energy Services Inc,CJ,0.1093%
Gulfport Energy Corp,GPOR,0.1061%
World Fuel Services Corp,INT,0.1058%
Kosmos Energy Ltd,KOS,0.0989%
Rowan Companies PLC,RDC,0.0984%
Oil States International Inc,OIS,0.0981%
SemGroup Corp,SEMG,0.0968%
Superior Energy Services Inc,SPN,0.0947%
Laredo Petroleum Inc,LPI,0.0938%
Extraction Oil & Gas Inc,XOG,0.0842%
Carrizo Oil & Gas Inc,CRZO,0.0834%
Antero Midstream GP LP,AMGP,0.081%
RPC Inc,RES,0.08%
Gran Tierra Energy Inc,GTE,0.0745%
Denbury Resources Inc,DNR,0.0732%
Diamond Offshore Drilling Inc,DO,0.072%
Unit Corp,UNT,0.0689%
Noble Corporation PLC,NE,0.0659%
Tallgrass Energy GP LP,TEGP,0.0624%
EnLink Midstream LLC,ENLC,0.0621%
Exterran Corp,EXTN,0.0608%
Forum Energy Technologies Inc,FET,0.0578%
Helix Energy Solutions Group Inc,HLX,0.0568%
SEACOR Holdings Inc,CKH,0.056%
ProPetro Holding Corp,PUMP,0.0558%
Ultra Petroleum Corp,UPL,0.0545%
Ring Energy Inc,REI,0.0539%
Stone Energy Corp,SGY,0.0504%
Newpark Resources Inc,NR,0.0485%
Fairmount Santrol Holdings Inc,FMSA,0.0473%
Keane Group Inc,FRAC,0.0468%
California Resources Corp,CRC,0.0452%
CONSOL Energy Inc,CEIX,0.0451%
Green Plains Inc,GPRE,0.0446%
Jagged Peak Energy Inc,JAG,0.0435%
Enbridge Energy Management LLC,EEQ,0.0432%
Halcon Resources Corp,HK,0.0411%
Resolute Energy Corp,REN,0.0411%
Archrock Inc,AROC,0.0394%
CVR Energy Inc,CVI,0.0364%
Bill Barrett Corp,HPR,0.0347%
Bonanza Creek Energy Inc,BCEI,0.0319%
SandRidge Energy Inc,SD,0.0314%
Wildhorse Resource Development Corp,WRD,0.0311%
Penn Virginia Corp,PVAC,0.0311%
Tellurian Inc,TELL,0.0311%
Tetra Technologies Inc,TTI,0.0299%
Bristow Group Inc,BRS,0.0298%
REX American Resources Corp,REX,0.0298%
Renewable Energy Group Inc,REGI,0.0286%
Par Pacific Holdings Inc,PARR,0.0265%
Matrix Service Co,MTRX,0.0258%
Franks International NV,FI,0.0215%
SEACOR Marine Holdings Inc,SMHI,0.0211%
Cash Component,CASH,0.0193%
Mammoth Energy Services Inc,TUSK,0.0186%
International Seaways Inc,INSW,0.0182%
Basic Energy Services Inc,BAS,0.0182%
Sanchez Energy Corp,SN,0.0169%
Gener8 Maritime Inc,GNRT,0.016%
Clean Energy Fuels Corp,CLNE,0.0141%
RigNet Inc,RNET,0.0127%
CARBO Ceramics Inc,CRR,0.0118%
NCS Multistage Holdings Inc,NCSM,0.0116%
Midstates Petroleum Company Inc,MPO,0.0108%
Smart Sand Inc,SND,0.0085%
Eclipse Resources Corp,ECR,0.0081%
PHI Inc,PHIIK,0.0078%
Hornbeck Offshore Services Inc,HOS,0.0069%
Parker Drilling Co,PKD,0.0068%
Key Energy Services Inc,KEG,0.0066%
Jones Energy Inc,JONE,0.0027%
