VFH: Vanguard Financials ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2018-03-23
Total Assets Under Management (in thousands):	7945728
Shares Outstanding: 114064000
Expense Ratio: 0.1%
Tracks This Index: MSCI US Investable Market Financials 25/50 Index
ETFdb.com Category: Financials Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VFH


Holding,Symbol,Weighting
JPMorgan Chase & Co,JPM,9.5007%
Bank of America Corp,BAC,7.3985%
Berkshire Hathaway Inc,BRK.B,6.2612%
Wells Fargo & Co,WFC,6.1033%
Citigroup Inc,C,4.5946%
Goldman Sachs Group Inc,GS,2.2486%
U.S. Bancorp,USB,2.0916%
Morgan Stanley,MS,1.8079%
PNC Financial Services Group Inc,PNC,1.7941%
American Express Co,AXP,1.7067%
BlackRock Inc,BLK,1.6029%
Chubb Ltd,CB,1.5999%
Charles Schwab Corp,SCHW,1.5846%
CME Group Inc,CME,1.3749%
Bank of New York Mellon Corp,BK,1.3293%
American International Group Inc,AIG,1.2289%
S&P Global Inc,SPGI,1.2134%
Capital One Financial Corp,COF,1.1476%
Prudential Financial Inc,PRU,1.0894%
Marsh & McLennan Companies Inc,MMC,1.0528%
Intercontinental Exchange Inc,ICE,1.0523%
BB&T Corp,BBT,1.0222%
MetLife Inc,MET,1.009%
Travelers Companies Inc,TRV,0.9416%
State Street Corp,STT,0.9247%
Progressive Corp,PGR,0.8896%
Aon PLC,AON,0.8763%
Aflac Inc,AFL,0.8718%
Allstate Corp,ALL,0.8458%
SunTrust Banks Inc,STI,0.8038%
Moody's Corp,MCO,0.6934%
Synchrony Financial,SYF,0.6519%
Discover Financial Services,DFS,0.6507%
T. Rowe Price Group Inc,TROW,0.6499%
M&T Bank Corp,MTB,0.6195%
Fifth Third Bancorp,FITB,0.5598%
Ameriprise Financial Inc,AMP,0.5485%
Northern Trust Corp,NTRS,0.5471%
Regions Financial Corp,RF,0.5348%
KeyCorp,KEY,0.5237%
Citizens Financial Group Inc,CFG,0.52%
Willis Towers Watson PLC,WLTW,0.4839%
Hartford Financial Services Group Inc,HIG,0.4581%
Principal Financial Group Inc,PFG,0.4271%
TD Ameritrade Holding Corp,AMTD,0.413%
Markel Corp,MKL,0.4087%
Huntington Bancshares Inc,HBAN,0.4069%
Comerica Inc,CMA,0.4068%
Lincoln National Corp,LNC,0.3954%
E*TRADE Financial Corp,ETFC,0.3643%
XL Group Ltd,XL,0.3633%
First Republic Bank,FRC,0.3626%
Loews Corp,L,0.3599%
MSCI Inc,MSCI,0.3554%
SVB Financial Group,SIVB,0.3259%
Invesco Ltd,IVZ,0.3198%
