VGT: Vanguard Information Technology ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2018-03-23
Total Assets Under Management (in thousands):	18279257
Shares Outstanding: 105508000
Expense Ratio: 0.1%
Tracks This Index: MSCI US Investable Market Information Technology 25/50 Index
ETFdb.com Category: Technology Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VGT


Holding,Symbol,Weighting
Apple Inc,AAPL,13.1413%
Microsoft Corp,MSFT,9.9142%
Facebook Inc,FB,5.8995%
Alphabet Inc,GOOG,4.9931%
Alphabet Inc,GOOGL,4.7495%
Intel Corp,INTC,3.5848%
Visa Inc,V,3.2923%
Cisco Systems Inc,CSCO,3.2539%
Mastercard Inc,MA,2.5032%
NVIDIA Corp,NVDA,2.1889%
Oracle Corp,ORCL,2.1754%
International Business Machines Corp,IBM,2.0313%
Adobe Systems Inc,ADBE,1.6427%
Texas Instruments Inc,TXN,1.5512%
Broadcom Ltd,AVGO,1.5361%
Accenture PLC,ACN,1.4054%
PayPal Holdings Inc,PYPL,1.3548%
Qualcomm Inc,QCOM,1.2273%
Salesforce.com Inc,CRM,1.219%
Micron Technology Inc,MU,0.9698%
Applied Materials Inc,AMAT,0.9171%
Activision Blizzard Inc,ATVI,0.7587%
Automatic Data Processing Inc,ADP,0.7514%
Cognizant Technology Solutions Corp,CTSH,0.7259%
Intuit Inc,INTU,0.6408%
eBay Inc,EBAY,0.6115%
Electronic Arts Inc,EA,0.5791%
HP Inc,HPQ,0.5661%
TE Connectivity Ltd,TEL,0.5285%
Lam Research Corp,LRCX,0.5096%
Analog Devices Inc,ADI,0.5015%
Fidelity National Information Services Inc,FIS,0.4906%
Fiserv Inc,FISV,0.4535%
DXC Technology Co,DXC,0.4499%
ServiceNow Inc,NOW,0.4418%
Hewlett Packard Enterprise Co,HPE,0.4363%
Western Digital Corp,WDC,0.4228%
Red Hat Inc,RHT,0.4071%
Amphenol Corp,APH,0.4049%
Autodesk Inc,ADSK,0.3918%
Corning Inc,GLW,0.3744%
Worldpay Inc,WP,0.3709%
Microchip Technology Inc,MCHP,0.3413%
Paychex Inc,PAYX,0.3105%
Twitter Inc,TWTR,0.3041%
Skyworks Solutions Inc,SWKS,0.2887%
Xilinx Inc,XLNX,0.2797%
Fleetcor Technologies Inc,FLT,0.2775%
Global Payments Inc,GPN,0.2743%
Workday Inc,WDAY,0.2726%
Motorola Solutions Inc,MSI,0.2623%
KLA-Tencor Corp,KLAC,0.2618%
Palo Alto Networks Inc,PANW,0.2588%
Maxim Integrated Products Inc,MXIM,0.2568%
NetApp Inc,NTAP,0.2525%
Seagate Technology PLC,STX,0.2524%
Symantec Corp,SYMC,0.2476%
Dell Technologies Inc,DVMT,0.2308%
Splunk Inc,SPLK,0.2236%
Mercadolibre Inc,MELI,0.2208%
Total System Services Inc,TSS,0.2188%
Square Inc,SQ,0.2158%
Citrix Systems Inc,CTXS,0.2152%
ANSYS Inc,ANSS,0.2096%
Arista Networks Inc,ANET,0.1943%
Synopsys Inc,SNPS,0.1915%
Broadridge Financial Solutions Inc,BR,0.1888%
IAC/InterActiveCorp,IAC,0.1879%
Akamai Technologies Inc,AKAM,0.1849%
Take-Two Interactive Software Inc,TTWO,0.1774%
Alliance Data Systems Corp,ADS,0.1683%
CDW Corp,CDW,0.1659%
Gartner Inc,IT,0.1647%
ON Semiconductor Corp,ON,0.1646%
Verisign Inc,VRSN,0.1644%
CA Inc,CA,0.1617%
Cadence Design Systems Inc,CDNS,0.1597%
Keysight Technologies Inc,KEYS,0.1471%
Leidos Holdings Inc,LDOS,0.145%
Jack Henry & Associates Inc,JKHY,0.1442%
Cognex Corp,CGNX,0.1414%
Qorvo Inc,QRVO,0.1409%
F5 Networks Inc,FFIV,0.1406%
Juniper Networks Inc,JNPR,0.1402%
PTC Inc,PTC,0.1399%
SS&C Technologies Holdings Inc,SSNC,0.1394%
Teradyne Inc,TER,0.1386%
IPG Photonics Corp,IPGP,0.1373%
Flex Ltd,FLEX,0.1368%
Trimble Inc,TRMB,0.1356%
Advanced Micro Devices Inc,AMD,0.1352%
Western Union Co,WU,0.1352%
GrubHub Inc,GRUB,0.134%
VMware Inc,VMW,0.1332%
GoDaddy Inc,GDDY,0.1317%
Marvell Technology Group Ltd,MRVL,0.131%
CDK Global Inc,CDK,0.1229%
Fortinet Inc,FTNT,0.1219%
Microsemi Corp,MSCC,0.1196%
CommScope Holding Company Inc,COMM,0.1155%
Tyler Technologies Inc,TYL,0.1132%
Zebra Technologies Corp,ZBRA,0.1132%
First Data Corp,FDC,0.1129%
Ultimate Software Group Inc,ULTI,0.109%
FLIR Systems Inc,FLIR,0.1062%
CSRA Inc,CSRA,0.1052%
Arrow Electronics Inc,ARW,0.1027%
MKS Instruments Inc,MKSI,0.099%
Black Knight Inc,BKI,0.0977%
Xerox Corp,XRX,0.097%
Guidewire Software Inc,GWRE,0.0937%
LogMeIn Inc,LOGM,0.0932%
National Instruments Corp,NATI,0.0917%
Zillow Group Inc,Z,0.0901%
WEX Inc,WEX,0.0898%
Cypress Semiconductor Corp,CY,0.0892%
Cavium Inc,CAVM,0.0883%
EPAM Systems Inc,EPAM,0.0882%
Aspen Technology Inc,AZPN,0.0864%
First Solar Inc,FSLR,0.0855%
Booz Allen Hamilton Holding Corp,BAH,0.0849%
Nutanix Inc,NTNX,0.0841%
Tableau Software Inc,DATA,0.0811%
Proofpoint Inc,PFPT,0.0796%
Entegris Inc,ENTG,0.0783%
Littelfuse Inc,LFUS,0.0777%
Fair Isaac Corp,FICO,0.0774%
DST Systems Inc,DST,0.0771%
Avnet Inc,AVT,0.077%
Snap Inc,SNAP,0.0769%
Paycom Software Inc,PAYC,0.076%
Blackbaud Inc,BLKB,0.076%
Teradata Corp,TDC,0.0748%
Arris International PLC,ARRS,0.0734%
Zendesk Inc,ZEN,0.0731%
Coherent Inc,COHR,0.0729%
Sabre Corp,SABR,0.0726%
Nuance Communications Inc,NUAN,0.0713%
Monolithic Power Systems Inc,MPWR,0.0709%
Jabil Inc,JBL,0.0705%
Universal Display Corp,OLED,0.0699%
2U Inc,TWOU,0.0688%
Euronet Worldwide Inc,EEFT,0.0673%
Lumentum Holdings Inc,LITE,0.0655%
Maximus Inc,MMS,0.0652%
Integrated Device Technology Inc,IDTI,0.0636%
Versum Materials Inc,VSM,0.063%
Cree Inc,CREE,0.0613%
RingCentral Inc,RNG,0.0595%
Dolby Laboratories Inc,DLB,0.0593%
ViaSat Inc,VSAT,0.059%
Silicon Laboratories Inc,SLAB,0.0588%
j2 Global Inc,JCOM,0.0586%
HubSpot Inc,HUBS,0.0583%
NCR Corp,NCR,0.0575%
Corelogic Inc,CLGX,0.0566%
Ciena Corp,CIEN,0.0563%
CACI International Inc,CACI,0.0557%
SYNNEX Corp,SNX,0.054%
Conduent Inc,CNDT,0.0529%
Mellanox Technologies Ltd,MLNX,0.0517%
Yelp Inc,YELP,0.0513%
Stamps.Com Inc,STMP,0.0498%
Ellie Mae Inc,ELLI,0.0494%
Science Applications International Corp,SAIC,0.0491%
Tech Data Corp,TECD,0.0471%
RealPage Inc,RP,0.0463%
Zynga Inc,ZNGA,0.0461%
ACI Worldwide Inc,ACIW,0.0447%
Manhattan Associates Inc,MANH,0.0442%
FireEye Inc,FEYE,0.0438%
Cabot Microelectronics Corp,CCMP,0.0436%
Belden Inc,BDC,0.0429%
Zillow Group Inc,ZG,0.0426%
Twilio Inc,TWLO,0.0407%
Cirrus Logic Inc,CRUS,0.0406%
Semtech Corp,SMTC,0.0401%
New Relic Inc,NEWR,0.04%
EchoStar Corp,SATS,0.0394%
InterDigital Inc,IDCC,0.0393%
Advanced Energy Industries Inc,AEIS,0.0393%
Envestnet Inc,ENV,0.0392%
Commvault Systems Inc,CVLT,0.0389%
Callidus Software Inc,CALD,0.0384%
Itron Inc,ITRI,0.0383%
II-VI Inc,IIVI,0.0377%
Verint Systems Inc,VRNT,0.0376%
Vishay Intertechnology Inc,VSH,0.0373%
Acxiom Corp,ACXM,0.0373%
Blackhawk Network Holdings Inc,HAWK,0.0371%
Box Inc,BOX,0.0367%
Qualys Inc,QLYS,0.0364%
Etsy Inc,ETSY,0.0354%
Match Group Inc,MTCH,0.0349%
Pegasystems Inc,PEGA,0.0348%
Rogers Corp,ROG,0.0347%
Viavi Solutions Inc,VIAV,0.0343%
Anixter International Inc,AXE,0.0341%
Netscout Systems Inc,NTCT,0.0328%
Convergys Corp,CVG,0.0316%
Cornerstone OnDemand Inc,CSOD,0.0316%
Plexus Corp,PLXS,0.0315%
Brooks Automation Inc,BRKS,0.0303%
Power Integrations Inc,POWI,0.0301%
Cars.com Inc,CARS,0.0299%
GTT Communications Inc,GTT,0.0292%
Ubiquiti Networks Inc,UBNT,0.0291%
Sanmina Corp,SANM,0.0291%
Exlservice Holdings Inc,EXLS,0.0289%
Plantronics Inc,PLT,0.0288%
Finisar Corp,FNSR,0.0286%
NETGEAR Inc,NTGR,0.0282%
Travelport Worldwide Ltd,TVPT,0.0279%
Verifone Systems Inc,PAY,0.0278%
Kulicke and Soffa Industries Inc,KLIC,0.0274%
8x8 Inc,EGHT,0.0272%
Progress Software Corp,PRGS,0.0261%
Ambarella Inc,AMBA,0.0261%
Novanta Inc,NOVT,0.026%
Oclaro Inc,OCLR,0.0254%
TiVo Corp,TIVO,0.0254%
Infinera Corp,INFN,0.0247%
Pure Storage Inc,PSTG,0.0244%
Trade Desk Inc,TTD,0.024%
MaxLinear Inc,MXL,0.024%
Benchmark Electronics Inc,BHE,0.0236%
Paylocity Holding Corp,PCTY,0.0235%
Synaptics Inc,SYNA,0.0234%
Bottomline Technologies (DE) Inc,EPAY,0.0232%
Solaredge Technologies Inc,SEDG,0.0231%
Ebix Inc,EBIX,0.0231%
CSG Systems International Inc,CSGS,0.0231%
Rambus Inc,RMBS,0.0225%
Q2 Holdings Inc,QTWO,0.0219%
ManTech International Corp,MANT,0.0216%
Methode Electronics Inc,MEI,0.0211%
TTM Technologies Inc,TTMI,0.0209%
Five9 Inc,FIVN,0.0209%
Badger Meter Inc,BMI,0.0207%
Virtusa Corp,VRTU,0.0204%
Imperva Inc,IMPV,0.0201%
Coupa Software Inc,COUP,0.0199%
Pandora Media Inc,P,0.0198%
3D Systems Corp,DDD,0.0193%
Fabrinet,FN,0.0193%
Blackline Inc,BL,0.0193%
Diodes Inc,DIOD,0.0191%
Electronics for Imaging Inc,EFII,0.0191%
Instructure Inc,INST,0.019%
Mindbody Inc,MB,0.0188%
MicroStrategy Inc,MSTR,0.0185%
Insight Enterprises Inc,NSIT,0.0183%
OSI Systems Inc,OSIS,0.0183%
Inphi Corp,IPHI,0.0179%
Cardtronics PLC,CATM,0.0178%
Knowles Corp,KN,0.0175%
Sykes Enterprises Inc,SYKE,0.0172%
Amkor Technology Inc,AMKR,0.0171%
Xperi Corp,XPER,0.0167%
Blucora Inc,BCOR,0.0162%
SPS Commerce Inc,SPSC,0.0162%
ePlus inc,PLUS,0.0159%
FormFactor Inc,FORM,0.0156%
Evertec Inc,EVTC,0.0156%
Quotient Technology Inc,QUOT,0.0155%
FARO Technologies Inc,FARO,0.0152%
Diebold Nixdorf Inc,DBD,0.015%
Monotype Imaging Holdings Inc,TYPE,0.0149%
Hortonworks Inc,HDP,0.0148%
MTS Systems Corp,MTSC,0.0146%
Pros Holdings Inc,PRO,0.0144%
KEMET Corp,KEM,0.0143%
Varonis Systems Inc,VRNS,0.0143%
Shutterstock Inc,SSTK,0.014%
Veeco Instruments Inc,VECO,0.0134%
Rudolph Technologies Inc,RTEC,0.0134%
Syntel Inc,SYNT,0.0134%
Everbridge Inc,EVBG,0.0134%
Fitbit Inc,FIT,0.0134%
Mitel Networks Corp,MITL,0.0132%
ScanSource Inc,SCSC,0.0132%
NIC Inc,EGOV,0.013%
AVX Corp,AVX,0.013%
Axcelis Technologies Inc,ACLS,0.0129%
Cray Inc,CRAY,0.0129%
CTS Corp,CTS,0.0127%
CalAmp Corp,CAMP,0.0124%
Cash Component,CASH,0.0124%
Perficient Inc,PRFT,0.0124%
CEVA Inc,CEVA,0.012%
LivePerson Inc,LPSN,0.0119%
Rapid7 Inc,RPD,0.0118%
Acacia Communications Inc,ACIA,0.0117%
ADTRAN Inc,ADTN,0.0115%
MACOM Technology Solutions Holdings Inc,MTSI,0.0114%
Ultra Clean Holdings Inc,UCTT,0.0113%
Web.com Group Inc,WEB,0.0112%
Cass Information Systems Inc,CASS,0.011%
TrueCar Inc,TRUE,0.0108%
Nanometrics Inc,NANO,0.0106%
Comtech Telecommunications Corp,CMTL,0.0103%
Lattice Semiconductor Corp,LSCC,0.0103%
Apptio Inc,APTI,0.0102%
Super Micro Computer Inc,SMCI,0.0102%
CommerceHub Inc,CHUBK,0.0101%
Alarm.com Holdings Inc,ALRM,0.0099%
Xcerra Corp,XCRA,0.0097%
Photronics Inc,PLAB,0.0088%
Workiva Inc,WK,0.0083%
Net 1 UEPS Technologies Inc,UEPS,0.0083%
Unisys Corp,UIS,0.0081%
XO Group Inc,XOXO,0.0079%
Gogo Inc,GOGO,0.0078%
TTEC Holdings Inc,TTEC,0.0076%
Ichor Holdings Ltd,ICHR,0.0076%
SunPower Corp,SPWR,0.0075%
Endurance International Group Holdings Inc,EIGI,0.0074%
Presidio Inc,PSDO,0.0074%
Synchronoss Technologies Inc,SNCR,0.0073%
Applied Optoelectronics Inc,AAOI,0.0072%
QAD Inc,QADA,0.0071%
Everi Holdings Inc,EVRI,0.0071%
Smart Global Holdings Inc,SGH,0.007%
Kimball Electronics Inc,KE,0.007%
Systemax Inc,SYX,0.0068%
AppFolio Inc,APPF,0.0067%
Cision Ltd,CISN,0.0067%
Tucows Inc,TCX,0.0067%
Glu Mobile Inc,GLUU,0.0064%
Yext Inc,YEXT,0.0063%
Mesa Laboratories Inc,MLAB,0.0063%
Hackett Group Inc,HCKT,0.0062%
Benefitfocus Inc,BNFT,0.0062%
VASCO Data Security International Inc,VDSI,0.0061%
Daktronics Inc,DAKT,0.0052%
Park Electrochemical Corp,PKE,0.0052%
PDF Solutions Inc,PDFS,0.005%
CommerceHub Inc,CHUBA,0.0048%
Harmonic Inc,HLIT,0.0048%
Upland Software Inc,UPLD,0.0048%
Calix Inc,CALX,0.0048%
PC Connection Inc,CNXN,0.0047%
Alpha and Omega Semiconductor Ltd,AOSL,0.0046%
A10 Networks Inc,ATEN,0.0044%
Ribbon Communications Inc,RBBN,0.0041%
MoneyGram International Inc,MGI,0.0041%
MobileIron Inc,MOBL,0.0034%
Impinj Inc,PI,0.0034%
NeoPhotonics Corp,NPTN,0.0033%
Quantenna Communications Inc,QTNA,0.0029%
Meet Group Inc,MEET,0.002%
Eastman Kodak Co,KODK,0.0018%
Internap Corp,INAP,0.0016%
Veritone Inc,VERI,0.0015%
DHI Group Inc,DHX,0.0014%
Rubicon Project Inc,RUBI,0.0013%
