VHT: Vanguard Healthcare ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2018-03-23
Total Assets Under Management (in thousands):	7058752
Shares Outstanding: 45880000
Expense Ratio: 0.1%
Tracks This Index: MSCI US Investable Market Health Care 25/50 Index
ETFdb.com Category: Health & Biotech Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VHT


Holding,Symbol,Weighting
Johnson & Johnson,JNJ,9.4693%
UnitedHealth Group Inc,UNH,5.8028%
Pfizer Inc,PFE,5.7924%
AbbVie Inc,ABBV,4.3828%
Merck & Co Inc,MRK,4.0995%
Amgen Inc,AMGN,3.2186%
Medtronic PLC,MDT,2.9205%
Abbott Laboratories,ABT,2.9189%
Bristol-Myers Squibb Co,BMY,2.8617%
Gilead Sciences Inc,GILD,2.6804%
Thermo Fisher Scientific Inc,TMO,2.313%
Eli Lilly and Co,LLY,2.0866%
Celgene Corp,CELG,1.8849%
Danaher Corp,DHR,1.6927%
Becton Dickinson and Co,BDX,1.5701%
Anthem Inc,ANTM,1.5618%
Biogen Inc,BIIB,1.5529%
Aetna Inc,AET,1.5432%
Stryker Corp,SYK,1.4966%
Allergan plc,AGN,1.4936%
Intuitive Surgical Inc,ISRG,1.2602%
Vertex Pharmaceuticals Inc,VRTX,1.1485%
Cigna Corp,CI,1.14%
Express Scripts Holding Co,ESRX,1.1206%
Zoetis Inc,ZTS,1.1077%
Humana Inc,HUM,1.055%
Boston Scientific Corp,BSX,1.0174%
Illumina Inc,ILMN,0.9679%
Baxter International Inc,BAX,0.8887%
McKesson Corp,MCK,0.8153%
Edwards Lifesciences Corp,EW,0.8078%
HCA Healthcare Inc,HCA,0.7889%
Regeneron Pharmaceuticals Inc,REGN,0.716%
Alexion Pharmaceuticals Inc,ALXN,0.6966%
Zimmer Biomet Holdings Inc,ZBH,0.6129%
Agilent Technologies Inc,A,0.5994%
Cardinal Health Inc,CAH,0.5468%
Align Technology Inc,ALGN,0.5392%
Mylan NV,MYL,0.4991%
Centene Corp,CNC,0.4927%
Cerner Corp,CERN,0.4768%
IDEXX Laboratories Inc,IDXX,0.4696%
Laboratory Corporation of America Holdings,LH,0.4656%
Nektar Therapeutics,NKTR,0.4564%
Waters Corp,WAT,0.4446%
Incyte Corp,INCY,0.4209%
Mettler-Toledo International Inc,MTD,0.4061%
Biomarin Pharmaceutical Inc,BMRN,0.3912%
AmerisourceBergen Corp,ABC,0.3879%
Quest Diagnostics Inc,DGX,0.3839%
Resmed Inc,RMD,0.3825%
IQVIA Holdings Inc,IQV,0.381%
Alnylam Pharmaceuticals Inc,ALNY,0.3443%
Abiomed Inc,ABMD,0.3391%
Dentsply Sirona Inc,XRAY,0.3283%
Teleflex Inc,TFX,0.322%
Varian Medical Systems Inc,VAR,0.3074%
Cooper Companies Inc,COO,0.3018%
Universal Health Services Inc,UHS,0.299%
Hologic Inc,HOLX,0.2896%
Perrigo Company PLC,PRGO,0.2879%
Henry Schein Inc,HSIC,0.2862%
DaVita Inc,DVA,0.269%
bluebird bio Inc,BLUE,0.2608%
Alkermes Plc,ALKS,0.252%
Jazz Pharmaceuticals PLC,JAZZ,0.2513%
Veeva Systems Inc,VEEV,0.2405%
WellCare Health Plans Inc,WCG,0.2349%
PerkinElmer Inc,PKI,0.2296%
STERIS plc,STE,0.2142%
Neurocrine Biosciences Inc,NBIX,0.2033%
SAGE Therapeutics Inc,SAGE,0.199%
Exelixis Inc,EXEL,0.1892%
West Pharmaceutical Services Inc,WST,0.1805%
Ionis Pharmaceuticals Inc,IONS,0.1685%
DexCom Inc,DXCM,0.1679%
athenahealth Inc,ATHN,0.1589%
Seattle Genetics Inc,SGEN,0.1568%
Hill-Rom Holdings Inc,HRC,0.1563%
Encompass Health Corp,EHC,0.1549%
Bio-Techne Corp,TECH,0.1536%
Exact Sciences Corp,EXAS,0.1487%
Catalent Inc,CTLT,0.1474%
Bio Rad Laboratories Inc,BIO,0.1442%
MEDNAX Inc,MD,0.1429%
Charles River Laboratories International Inc,CRL,0.141%
Insulet Corp,PODD,0.1386%
Sarepta Therapeutics Inc,SRPT,0.1342%
United Therapeutics Corp,UTHR,0.1311%
Envision Healthcare Corp,EVHC,0.1287%
Chemed Corp,CHE,0.1238%
PRA Health Sciences Inc,PRAH,0.1203%
Cantel Medical Corp,CMD,0.1167%
Masimo Corp,MASI,0.1164%
Agios Pharmaceuticals Inc,AGIO,0.1147%
ICU Medical Inc,ICUI,0.1116%
Haemonetics Corp,HAE,0.1078%
Medidata Solutions Inc,MDSO,0.1049%
Blueprint Medicines Corp,BPMC,0.1029%
Globus Medical Inc,GMED,0.1002%
AveXis Inc,AVXS,0.0995%
Penumbra Inc,PEN,0.0988%
Integra LifeSciences Holdings Corp,IART,0.0963%
Ligand Pharmaceuticals Inc,LGND,0.0941%
HealthEquity Inc,HQY,0.0925%
FibroGen Inc,FGEN,0.0917%
Bruker Corp,BRKR,0.0896%
Molina Healthcare Inc,MOH,0.0891%
Neogen Corp,NEOG,0.0891%
Array Biopharma Inc,ARRY,0.0871%
Acadia Healthcare Company Inc,ACHC,0.0821%
AMN Healthcare Services Inc,AMN,0.0785%
Clovis Oncology Inc,CLVS,0.0745%
Amicus Therapeutics Inc,FOLD,0.0735%
Magellan Health Inc,MGLN,0.072%
NuVasive Inc,NUVA,0.0719%
Tenet Healthcare Corp,THC,0.0703%
Halozyme Therapeutics Inc,HALO,0.0671%
Medicines Co,MDCO,0.0653%
Loxo Oncology Inc,LOXO,0.0649%
