VIS: Vanguard Industrial ETF
Inception Date: 2004-09-23
Fund Holdings as of: 2018-03-23
Total Assets Under Management (in thousands):	3543397
Shares Outstanding: 25580000
Expense Ratio: 0.1%
Tracks This Index: MSCI US Investable Market Industrials 25/50 Index
ETFdb.com Category: Industrials Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VIS


Holding,Symbol,Weighting
Boeing Co,BA,6.2112%
3M Co,MMM,4.3881%
General Electric Co,GE,3.8766%
Union Pacific Corp,UNP,3.551%
Honeywell International Inc,HON,3.5453%
United Technologies Corp,UTX,3.1734%
Lockheed Martin Corp,LMT,2.9678%
Caterpillar Inc,CAT,2.9358%
United Parcel Service Inc,UPS,2.3903%
Raytheon Co,RTN,2.1199%
FedEx Corp,FDX,1.9981%
Northrop Grumman Corp,NOC,1.9565%
General Dynamics Corp,GD,1.8988%
Illinois Tool Works Inc,ITW,1.6561%
CSX Corp,CSX,1.5751%
Emerson Electric Co,EMR,1.4791%
Deere & Co,DE,1.3841%
Delta Air Lines Inc,DAL,1.3147%
Norfolk Southern Corp,NSC,1.2943%
Waste Management Inc,WM,1.2322%
Eaton Corporation PLC,ETN,1.1781%
Southwest Airlines Co,LUV,1.1507%
Johnson Controls International PLC,JCI,1.087%
Roper Technologies Inc,ROP,0.9587%
Cummins Inc,CMI,0.8384%
Fortive Corp,FTV,0.8135%
Stanley Black & Decker Inc,SWK,0.794%
Parker-Hannifin Corp,PH,0.7691%
Paccar Inc,PCAR,0.7565%
Rockwell Automation Inc,ROK,0.752%
American Airlines Group Inc,AAL,0.7507%
Rockwell Collins Inc,COL,0.7494%
Ingersoll-Rand PLC,IR,0.7154%
United Continental Holdings Inc,UAL,0.6836%
Waste Connections Inc,WCN,0.6421%
Harris Corp,HRS,0.6406%
IHS Markit Ltd,INFO,0.639%
Ametek Inc,AME,0.5906%
Verisk Analytics Inc,VRSK,0.5478%
TransDigm Group Inc,TDG,0.5415%
L3 Technologies Inc,LLL,0.5381%
Fastenal Co,FAST,0.5289%
Dover Corp,DOV,0.5248%
Republic Services Inc,RSG,0.5238%
Cintas Corp,CTAS,0.5167%
Textron Inc,TXT,0.5127%
United Rentals Inc,URI,0.5055%
W W Grainger Inc,GWW,0.4988%
Equifax Inc,EFX,0.4755%
Xylem Inc,XYL,0.466%
CoStar Group Inc,CSGP,0.445%
C.H. Robinson Worldwide Inc,CHRW,0.4342%
Masco Corp,MAS,0.4331%
XPO Logistics Inc,XPO,0.4084%
Pentair plc,PNR,0.3966%
Huntington Ingalls Industries Inc,HII,0.3946%
Nielsen Holdings PLC,NLSN,0.3843%
Kansas City Southern,KSU,0.3834%
IDEX Corp,IEX,0.3725%
Expeditors International of Washington Inc,EXPD,0.3695%
TransUnion,TRU,0.356%
Copart Inc,CPRT,0.3543%
J B Hunt Transport Services Inc,JBHT,0.3529%
Arconic Inc,ARNC,0.3368%
Spirit AeroSystems Holdings Inc,SPR,0.3292%
A. O. Smith Corp,AOS,0.3112%
Old Dominion Freight Line Inc,ODFL,0.3034%
Fortune Brands Home & Security Inc,FBHS,0.3004%
Owens Corning,OC,0.2958%
Sensata Technologies Holding NV,ST,0.2918%
Snap-On Inc,SNA,0.2873%
Allegion PLC,ALLE,0.27%
Fluor Corp,FLR,0.2621%
Lennox International Inc,LII,0.2615%
Alaska Air Group Inc,ALK,0.2612%
Orbital ATK Inc,OA,0.2599%
Graco Inc,GGG,0.2555%
ManpowerGroup Inc,MAN,0.2519%
KAR Auction Services Inc,KAR,0.2469%
Jacobs Engineering Group Inc,JEC,0.2411%
Nordson Corp,NDSN,0.2396%
Robert Half International Inc,RHI,0.2387%
Middleby Corp,MIDD,0.2337%
Westinghouse Air Brake Technologies Corp,WAB,0.2295%
JetBlue Airways Corp,JBLU,0.2285%
WABCO Holdings Inc,WBC,0.226%
HD Supply Holdings Inc,HDS,0.2242%
Toro Co,TTC,0.221%
Carlisle Companies Inc,CSL,0.2174%
Knight-Swift Transportation Holdings Inc,KNX,0.2165%
Hubbell Inc,HUBB,0.2117%
Teledyne Technologies Inc,TDY,0.2103%
BWX Technologies Inc,BWXT,0.199%
Hexcel Corp,HXL,0.1981%
Oshkosh Corp,OSK,0.196%
Curtiss-Wright Corp,CW,0.1922%
Acuity Brands Inc,AYI,0.1902%
Flowserve Corp,FLS,0.1877%
AECOM,ACM,0.1861%
Donaldson Company Inc,DCI,0.1852%
Watsco Inc,WSO,0.1825%
Lincoln Electric Holdings Inc,LECO,0.1799%
Quanta Services Inc,PWR,0.1762%
Stericycle Inc,SRCL,0.1715%
Rollins Inc,ROL,0.1672%
Allison Transmission Holdings Inc,ALSN,0.1636%
Landstar System Inc,LSTR,0.1554%
EMCOR Group Inc,EME,0.1525%
Kirby Corp,KEX,0.1525%
Dun & Bradstreet Corp,DNB,0.1502%
Genesee & Wyoming Inc,GWR,0.1502%
Trinity Industries Inc,TRN,0.1479%
ITT Inc,ITT,0.1476%
Crane Co,CR,0.1472%
HEICO Corp,HEI.A,0.1453%
Air Lease Corp,AL,0.1392%
MSC Industrial Direct Co Inc,MSM,0.1364%
AGCO Corp,AGCO,0.135%
On Assignment Inc,ASGN,0.1348%
Woodward Inc,WWD,0.1327%
Ryder System Inc,R,0.1295%
Cimpress NV,CMPR,0.1258%
John Bean Technologies Corp,JBT,0.1226%
KLX Inc,KLXI,0.1213%
Beacon Roofing Supply Inc,BECN,0.1206%
Deluxe Corp,DLX,0.1159%
Avis Budget Group Inc,CAR,0.1146%
Kennametal Inc,KMT,0.113%
Dycom Industries Inc,DY,0.1097%
Valmont Industries Inc,VMI,0.1088%
Trex Company Inc,TREX,0.1079%
Brinks Co,BCO,0.107%
Regal Beloit Corp,RBC,0.1067%
Univar Inc,UNVR,0.1059%
USG Corp,USG,0.1051%
