VNQ: Vanguard Real Estate Index Fund
Inception Date: 2004-09-23
Fund Holdings as of: 2018-03-23
Total Assets Under Management (in thousands):	29165232
Shares Outstanding: 390745000
Expense Ratio: 0.12%
Tracks This Index: MSCI US REIT Index
ETFdb.com Category: Real Estate
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VNQ


Holding,Symbol,Weighting
Simon Property Group Inc,SPG,5.8317%
Prologis Inc,PLD,3.9538%
Equinix Inc,EQIX,3.8747%
Public Storage,PSA,3.7375%
AvalonBay Communities Inc,AVB,2.6991%
Equity Residential,EQR,2.6515%
Digital Realty Trust Inc,DLR,2.5961%
Welltower Inc,WELL,2.376%
Boston Properties Inc,BXP,2.2605%
Ventas Inc,VTR,2.1189%
American Tower Corp,AMT,2.0207%
Essex Property Trust Inc,ESS,1.8698%
Realty Income Corp,O,1.6846%
Host Hotels & Resorts Inc,HST,1.6456%
GGP Inc,GGP,1.5845%
Crown Castle International Corp,CCI,1.4767%
Alexandria Real Estate Equities Inc,ARE,1.3819%
Vornado Realty Trust,VNO,1.3742%
Extra Space Storage Inc,EXR,1.2929%
HCP Inc,HCP,1.2928%
Mid-America Apartment Communities Inc,MAA,1.2202%
SL Green Realty Corp,SLG,1.1349%
UDR Inc,UDR,1.13%
Duke Realty Corp,DRE,1.1119%
Regency Centers Corp,REG,1.0577%
Iron Mountain Inc,IRM,1.0144%
Federal Realty Investment Trust,FRT,1.007%
Camden Property Trust,CPT,0.9294%
Sun Communities Inc,SUI,0.8672%
Equity LifeStyle Properties Inc,ELS,0.8569%
Weyerhaeuser Co,WY,0.8516%
Macerich Co,MAC,0.8503%
Invitation Homes Inc,INVH,0.8432%
Kilroy Realty Corp,KRC,0.8341%
Gaming and Leisure Properties Inc,GLPI,0.818%
VEREIT Inc,VER,0.8024%
WP Carey Inc,WPC,0.801%
Apartment Investment and Management Co,AIV,0.7498%
Kimco Realty Corp,KIM,0.7375%
Liberty Property Trust,LPT,0.7036%
National Retail Properties Inc,NNN,0.692%
Douglas Emmett Inc,DEI,0.686%
SBA Communications Corp,SBAC,0.6566%
Omega Healthcare Investors Inc,OHI,0.6382%
DCT Industrial Trust Inc,DCT,0.6322%
Healthcare Trust Of America Inc,HTA,0.6266%
American Campus Communities Inc,ACC,0.6078%
Hudson Pacific Properties Inc,HPP,0.605%
CubeSmart,CUBE,0.605%
American Homes 4 Rent,AMH,0.5656%
Medical Properties Trust Inc,MPW,0.5619%
Park Hotels & Resorts Inc,PK,0.554%
Brixmor Property Group Inc,BRX,0.5536%
CyrusOne Inc,CONE,0.536%
Highwoods Properties Inc,HIW,0.53%
Forest City Realty Trust Inc,FCE.A,0.5251%
STORE Capital Corp,STOR,0.5133%
EPR Properties,EPR,0.4941%
Hospitality Properties Trust,HPT,0.4864%
Life Storage Inc,LSI,0.4625%
CBRE Group Inc,CBRE,0.4578%
Equity Commonwealth,EQC,0.4539%
Senior Housing Properties Trust,SNH,0.4471%
Apple Hospitality REIT Inc,APLE,0.4416%
