VO: Vanguard Mid-Cap Index ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2018-03-23
Total Assets Under Management (in thousands):	22275012
Shares Outstanding: 144371000
Expense Ratio: 0.06%
Tracks This Index: CRSP US Mid Cap Index
ETFdb.com Category: Mid Cap Growth Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VO


Holding,Symbol,Weighting
Fiserv Inc,FISV,0.753%
ServiceNow Inc,NOW,0.7359%
Edwards Lifesciences Corp,EW,0.7331%
Autodesk Inc,ADSK,0.7274%
Roper Technologies Inc,ROP,0.7262%
Western Digital Corp,WDC,0.7077%
Red Hat Inc,RHT,0.6762%
Amphenol Corp,APH,0.672%
Moody's Corp,MCO,0.6657%
Worldpay Inc,WP,0.6239%
Freeport-McMoRan Inc,FCX,0.6218%
M&T Bank Corp,MTB,0.6192%
ONEOK Inc,OKE,0.5969%
Concho Resources Inc,CXO,0.5924%
Rockwell Collins Inc,COL,0.5689%
Microchip Technology Inc,MCHP,0.5689%
Dollar Tree Inc,DLTR,0.5613%
Dr Pepper Snapple Group Inc,DPS,0.5455%
Digital Realty Trust Inc,DLR,0.5434%
Regions Financial Corp,RF,0.5388%
Newmont Mining Corp,NEM,0.5337%
KeyCorp,KEY,0.5283%
Citizens Financial Group Inc,CFG,0.5192%
Royal Caribbean Cruises Ltd,RCL,0.5165%
Willis Towers Watson PLC,WLTW,0.5165%
SBA Communications Corp,SBAC,0.5132%
Twitter Inc,TWTR,0.5051%
WEC Energy Group Inc,WEC,0.4924%
Align Technology Inc,ALGN,0.4907%
Waste Connections Inc,WCN,0.483%
Harris Corp,HRS,0.4819%
Skyworks Solutions Inc,SWKS,0.477%
Xilinx Inc,XLNX,0.4729%
DTE Energy Co,DTE,0.4675%
Eversource Energy,ES,0.4637%
Hartford Financial Services Group Inc,HIG,0.4625%
IHS Markit Ltd,INFO,0.462%
Fleetcor Technologies Inc,FLT,0.461%
Cerner Corp,CERN,0.46%
Global Payments Inc,GPN,0.4554%
Workday Inc,WDAY,0.452%
Ametek Inc,AME,0.4456%
Devon Energy Corp,DVN,0.4378%
KLA-Tencor Corp,KLAC,0.4374%
MGM Resorts International,MGM,0.4368%
Motorola Solutions Inc,MSI,0.4327%
Principal Financial Group Inc,PFG,0.432%
Centene Corp,CNC,0.4317%
Lam Research Corp,LRCX,0.4284%
Best Buy Co Inc,BBY,0.4282%
IDEXX Laboratories Inc,IDXX,0.4275%
Maxim Integrated Products Inc,MXIM,0.4259%
Laboratory Corporation of America Holdings,LH,0.4251%
NetApp Inc,NTAP,0.4234%
Huntington Bancshares Inc,HBAN,0.418%
Clorox Co,CLX,0.4142%
FirstEnergy Corp,FE,0.4137%
Verisk Analytics Inc,VRSK,0.4129%
Symantec Corp,SYMC,0.4123%
Comerica Inc,CMA,0.4095%
Palo Alto Networks Inc,PANW,0.4083%
Lennar Corp,LEN,0.4081%
L3 Technologies Inc,LLL,0.4051%
WestRock Co,WRK,0.4017%
IQVIA Holdings Inc,IQV,0.4006%
Fastenal Co,FAST,0.3999%
D.R. Horton Inc,DHI,0.3994%
Lincoln National Corp,LNC,0.3961%
Markel Corp,MKL,0.3957%
Vulcan Materials Co,VMC,0.3941%
Dover Corp,DOV,0.3925%
Waters Corp,WAT,0.3902%
Essex Property Trust Inc,ESS,0.3876%
Incyte Corp,INCY,0.3863%
CenturyLink Inc,CTL,0.3851%
Dell Technologies Inc,DVMT,0.3827%
Hess Corp,HES,0.3817%
Andeavor,ANDV,0.3812%
Tapestry Inc,TPR,0.3801%
Noble Energy Inc,NBL,0.3796%
Mohawk Industries Inc,MHK,0.3778%
United Rentals Inc,URI,0.3775%
Mettler-Toledo International Inc,MTD,0.3745%
First Republic Bank,FRC,0.374%
Splunk Inc,SPLK,0.3736%
Seagate Technology PLC,STX,0.3718%
Wynn Resorts Ltd,WYNN,0.3718%
W W Grainger Inc,GWW,0.3711%
Ross Stores Inc,ROST,0.3699%
Cintas Corp,CTAS,0.3682%
TransDigm Group Inc,TDG,0.3681%
Conagra Brands Inc,CAG,0.3668%
XL Group Ltd,XL,0.3656%
Total System Services Inc,TSS,0.3655%
E*TRADE Financial Corp,ETFC,0.3648%
National Oilwell Varco Inc,NOV,0.3645%
American Water Works Company Inc,AWK,0.3643%
Realty Income Corp,O,0.3611%
Entergy Corp,ETR,0.3598%
MSCI Inc,MSCI,0.3583%
Equifax Inc,EFX,0.3582%
Biomarin Pharmaceutical Inc,BMRN,0.3563%
CBRE Group Inc,CBRE,0.3561%
Resmed Inc,RMD,0.3532%
