VOX: Vanguard Telecommunications Services ETF
Inception Date: 2004-09-23
Fund Holdings as of: 2018-03-23
Total Assets Under Management (in thousands):	970583
Shares Outstanding: 11514000
Expense Ratio: 0.1%
Tracks This Index: MSCI US Investable Market Telecommunication Services 25/50 Index
ETFdb.com Category: Communications Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VOX


Holding,Symbol,Weighting
Verizon Communications Inc,VZ,25.7371%
AT&T Inc,T,23.0185%
T-Mobile US Inc,TMUS,4.9208%
CenturyLink Inc,CTL,4.1765%
Zayo Group Holdings Inc,ZAYO,3.4495%
Vonage Holdings Corp,VG,3.4245%
Shenandoah Telecommunications Co,SHEN,2.8438%
Telephone and Data Systems Inc,TDS,2.8354%
Sprint Corp,S,2.7671%
Iridium Communications Inc,IRDM,2.712%
United States Cellular Corp,USM,2.5504%
pdvWireless Inc,PDVW,2.4639%
Cogent Communications Holdings Inc,CCOI,2.4281%
ATN International Inc,ATNI,2.2962%
ORBCOMM Inc,ORBC,2.2826%
Spok Holdings Inc,SPOK,2.275%
Consolidated Communications Holdings Inc,CNSL,2.1077%
IDT Corp,IDT,2.0153%
Frontier Communications Corp,FTR,1.9744%
Cincinnati Bell Inc,CBB,1.9728%
Globalstar Inc,GSAT,1.6886%
Cash Component,CASH,0.0597%
