VPU: Vanguard Utilities ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2018-03-23
Total Assets Under Management (in thousands):	2504142
Shares Outstanding: 22769000
Expense Ratio: 0.1%
Tracks This Index: MSCI US Investable Market Utilities 25/50 Index
ETFdb.com Category: Utilities Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VPU


Holding,Symbol,Weighting
Nextera Energy Inc,NEE,9.9672%
Duke Energy Corp,DUK,6.9883%
Dominion Energy Inc,D,5.7527%
Southern Co,SO,5.7461%
Exelon Corp,EXC,4.8093%
American Electric Power Company Inc,AEP,4.3376%
Sempra Energy,SRE,3.4532%
Public Service Enterprise Group Inc,PEG,3.2197%
Consolidated Edison Inc,ED,3.1117%
Xcel Energy Inc,XEL,2.9497%
PG&E Corp,PCG,2.9434%
Edison International,EIX,2.6899%
WEC Energy Group Inc,WEC,2.5355%
PPL Corp,PPL,2.4812%
DTE Energy Co,DTE,2.4092%
Eversource Energy,ES,2.3905%
FirstEnergy Corp,FE,1.994%
American Water Works Company Inc,AWK,1.8765%
Entergy Corp,ETR,1.852%
Ameren Corp,AEE,1.7415%
CMS Energy Corp,CMS,1.6195%
CenterPoint Energy Inc,CNP,1.441%
NRG Energy Inc,NRG,1.2529%
Alliant Energy Corp,LNT,1.2109%
Pinnacle West Capital Corp,PNW,1.1532%
Atmos Energy Corp,ATO,1.1278%
NiSource Inc,NI,1.0319%
UGI Corp,UGI,0.9851%
Westar Energy Inc,WR,0.944%
AES Corp,AES,0.9404%
Great Plains Energy Inc,GXP,0.8583%
OGE Energy Corp,OGE,0.8337%
Aqua America Inc,WTR,0.7695%
Vistra Energy Corp,VST,0.689%
Vectren Corp,VVC,0.688%
SCANA Corp,SCG,0.6708%
MDU Resources Group Inc,MDU,0.6696%
Idacorp Inc,IDA,0.5632%
WGL Holdings Inc,WGL,0.5596%
Hawaiian Electric Industries Inc,HE,0.4819%
ALLETE Inc,ALE,0.476%
Portland General Electric Co,POR,0.4631%
ONE Gas Inc,OGS,0.4408%
Avista Corp,AVA,0.4408%
New Jersey Resources Corp,NJR,0.4405%
Spire Inc,SR,0.4387%
Southwest Gas Holdings Inc,SWX,0.4201%
Avangrid Inc,AGR,0.405%
PNM Resources Inc,PNM,0.3859%
Black Hills Corp,BKH,0.3702%
NorthWestern Corp,NWE,0.3326%
Nextera Energy Partners LP,NEP,0.2907%
South Jersey Industries Inc,SJI,0.2816%
Ormat Technologies Inc,ORA,0.2808%
El Paso Electric Co,EE,0.2631%
American States Water Co,AWR,0.2547%
MGE Energy Inc,MGEE,0.2518%
California Water Service Group,CWT,0.2294%
Dynegy Inc,DYN,0.2168%
Northwest Natural Gas Co,NWN,0.2105%
Otter Tail Corp,OTTR,0.2007%
Pattern Energy Group Inc,PEGI,0.1989%
NRG Yield Inc,NYLD,0.1461%
Chesapeake Utilities Corp,CPK,0.1446%
SJW Group,SJW,0.1054%
Connecticut Water Service Inc,CTWS,0.0948%
Unitil Corp,UTL,0.084%
Middlesex Water Co,MSEX,0.0773%
NRG Yield Inc,NYLD.A,0.076%
TerraForm Power Inc,TERP,0.0524%
York Water Co,YORW,0.0512%
Cash Component,CASH,0.0471%
8Point3 Energy Partners LP,CAFD,0.0437%
AquaVenture Holdings Ltd,WAAS,0.0271%
Spark Energy Inc,SPKE,0.0182%
