VTV: Vanguard Value ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2018-03-23
Total Assets Under Management (in thousands):	35574453
Shares Outstanding: 346527000
Expense Ratio: 0.06%
Tracks This Index: MSCI US Prime Market Value Index
ETFdb.com Category: Large Cap Blend Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VTV


Holding,Symbol,Weighting
Microsoft Corp,MSFT,5.5792%
Berkshire Hathaway Inc,BRK.B,3.1175%
JPMorgan Chase & Co,JPM,3.0877%
Johnson & Johnson,JNJ,2.7881%
Exxon Mobil Corp,XOM,2.5673%
Bank of America Corp,BAC,2.359%
Intel Corp,INTC,1.9154%
Wells Fargo & Co,WFC,1.8788%
Chevron Corp,CVX,1.7941%
AT&T Inc,T,1.7718%
UnitedHealth Group Inc,UNH,1.7088%
Pfizer Inc,PFE,1.7062%
Cisco Systems Inc,CSCO,1.6984%
Procter & Gamble Co,PG,1.5891%
Verizon Communications Inc,VZ,1.5862%
Citigroup Inc,C,1.4917%
PepsiCo Inc,PEP,1.2547%
DowDuPont Inc,DWDP,1.2197%
Merck & Co Inc,MRK,1.2095%
Oracle Corp,ORCL,1.1551%
International Business Machines Corp,IBM,1.1436%
Walmart Inc,WMT,1.0505%
Amgen Inc,AMGN,0.944%
General Electric Co,GE,0.942%
Honeywell International Inc,HON,0.8953%
Abbott Laboratories,ABT,0.8643%
Gilead Sciences Inc,GILD,0.7914%
United Technologies Corp,UTX,0.774%
Caterpillar Inc,CAT,0.7178%
Goldman Sachs Group Inc,GS,0.693%
Coca-Cola Co,KO,0.6739%
Qualcomm Inc,QCOM,0.6599%
U.S. Bancorp,USB,0.6429%
Nextera Energy Inc,NEE,0.6221%
Eli Lilly and Co,LLY,0.6129%
Morgan Stanley,MS,0.5865%
Time Warner Inc,TWX,0.571%
ConocoPhillips,COP,0.563%
PNC Financial Services Group Inc,PNC,0.5508%
American Express Co,AXP,0.5184%
CVS Health Corp,CVS,0.5135%
Raytheon Co,RTN,0.5124%
Northrop Grumman Corp,NOC,0.4954%
Chubb Ltd,CB,0.4927%
Mondelez International Inc,MDLZ,0.4756%
Altria Group Inc,MO,0.4694%
Allergan plc,AGN,0.4633%
General Dynamics Corp,GD,0.4615%
Aetna Inc,AET,0.455%
Anthem Inc,ANTM,0.4548%
CME Group Inc,CME,0.4468%
Duke Energy Corp,DUK,0.4368%
Deere & Co,DE,0.4005%
American International Group Inc,AIG,0.3996%
Bank of New York Mellon Corp,BK,0.3836%
CSX Corp,CSX,0.3801%
Capital One Financial Corp,COF,0.3751%
General Motors Co,GM,0.3681%
Southern Co,SO,0.3603%
Dominion Energy Inc,D,0.3589%
Emerson Electric Co,EMR,0.3566%
Phillips 66,PSX,0.3531%
