VUG: Vanguard Growth ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2018-03-23
Total Assets Under Management (in thousands):	32410532
Shares Outstanding: 226647000
Expense Ratio: 0.06%
Tracks This Index: MSCI US Prime Market Growth Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VUG


Holding,Symbol,Weighting
Apple Inc,AAPL,7.0289%
Amazon.com Inc,AMZN,5.7241%
Facebook Inc,FB,3.5647%
Alphabet Inc,GOOGL,2.8734%
Alphabet Inc,GOOG,2.8303%
Visa Inc,V,1.9683%
Home Depot Inc,HD,1.8745%
Boeing Co,BA,1.7604%
Mastercard Inc,MA,1.4969%
AbbVie Inc,ABBV,1.4447%
Comcast Corp,CMCSA,1.4353%
Philip Morris International Inc,PM,1.3876%
Walt Disney Co,DIS,1.3144%
3M Co,MMM,1.1995%
NVIDIA Corp,NVDA,1.1844%
Netflix Inc,NFLX,1.1604%
McDonald's Corp,MCD,1.1509%
Adobe Systems Inc,ADBE,0.9888%
Medtronic PLC,MDT,0.9686%
Union Pacific Corp,UNP,0.961%
Booking Holdings Inc,BKNG,0.9538%
Bristol-Myers Squibb Co,BMY,0.9448%
Texas Instruments Inc,TXN,0.9293%
Broadcom Ltd,AVGO,0.9281%
Accenture PLC,ACN,0.8459%
Schlumberger NV,SLB,0.8281%
PayPal Holdings Inc,PYPL,0.8144%
Nike Inc,NKE,0.7827%
Thermo Fisher Scientific Inc,TMO,0.7657%
Coca-Cola Co,KO,0.7569%
Costco Wholesale Corp,COST,0.7386%
Salesforce.com Inc,CRM,0.7321%
Starbucks Corp,SBUX,0.7012%
United Parcel Service Inc,UPS,0.6533%
Lowe's Companies Inc,LOW,0.6173%
Celgene Corp,CELG,0.5971%
Micron Technology Inc,MU,0.5853%
American Tower Corp,AMT,0.5852%
Charles Schwab Corp,SCHW,0.5805%
EOG Resources Inc,EOG,0.5715%
Colgate-Palmolive Co,CL,0.5586%
BlackRock Inc,BLK,0.5507%
Applied Materials Inc,AMAT,0.5426%
Altria Group Inc,MO,0.5265%
Becton Dickinson and Co,BDX,0.5233%
Biogen Inc,BIIB,0.5127%
Charter Communications Inc,CHTR,0.4907%
Occidental Petroleum Corp,OXY,0.4676%
Monsanto Co,MON,0.4584%
Activision Blizzard Inc,ATVI,0.4567%
Simon Property Group Inc,SPG,0.455%
TJX Companies Inc,TJX,0.4472%
S&P Global Inc,SPGI,0.4421%
Stryker Corp,SYK,0.4411%
Cognizant Technology Solutions Corp,CTSH,0.4347%
Automatic Data Processing Inc,ADP,0.4304%
Crown Castle International Corp,CCI,0.4228%
Intuitive Surgical Inc,ISRG,0.4218%
Intuit Inc,INTU,0.3882%
Lockheed Martin Corp,LMT,0.3842%
Praxair Inc,PX,0.3827%
Marsh & McLennan Companies Inc,MMC,0.3819%
Intercontinental Exchange Inc,ICE,0.3816%
Vertex Pharmaceuticals Inc,VRTX,0.3815%
Tesla Inc,TSLA,0.379%
Zoetis Inc,ZTS,0.366%
Electronic Arts Inc,EA,0.3469%
Kraft Heinz Co,KHC,0.3412%
Boston Scientific Corp,BSX,0.3373%
Marriott International Inc,MAR,0.3362%
