VV: Vanguard Large Cap ETF
Inception Date: 2004-01-27
Fund Holdings as of: 2018-03-23
Total Assets Under Management (in thousands):	11821171
Shares Outstanding: 97437000
Expense Ratio: 0.06%
Tracks This Index: CRSP US Large Cap Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VV


Holding,Symbol,Weighting
Apple Inc,AAPL,3.3159%
Microsoft Corp,MSFT,2.9534%
Amazon.com Inc,AMZN,2.7196%
Facebook Inc,FB,1.68%
Berkshire Hathaway Inc,BRK.B,1.6462%
JPMorgan Chase & Co,JPM,1.6324%
Johnson & Johnson,JNJ,1.4745%
Exxon Mobil Corp,XOM,1.3574%
Alphabet Inc,GOOGL,1.3482%
Alphabet Inc,GOOG,1.3416%
Bank of America Corp,BAC,1.2485%
Intel Corp,INTC,1.0139%
Wells Fargo & Co,WFC,0.994%
Chevron Corp,CVX,0.9511%
AT&T Inc,T,0.9372%
Visa Inc,V,0.9259%
Pfizer Inc,PFE,0.9036%
UnitedHealth Group Inc,UNH,0.9019%
Cisco Systems Inc,CSCO,0.8985%
Home Depot Inc,HD,0.8852%
Procter & Gamble Co,PG,0.841%
Verizon Communications Inc,VZ,0.8402%
Boeing Co,BA,0.8323%
Citigroup Inc,C,0.7889%
Coca-Cola Co,KO,0.7142%
Mastercard Inc,MA,0.7059%
AbbVie Inc,ABBV,0.6794%
Comcast Corp,CMCSA,0.6758%
PepsiCo Inc,PEP,0.6613%
Philip Morris International Inc,PM,0.6537%
DowDuPont Inc,DWDP,0.6456%
Merck & Co Inc,MRK,0.6403%
Walt Disney Co,DIS,0.6205%
Oracle Corp,ORCL,0.6124%
International Business Machines Corp,IBM,0.6067%
3M Co,MMM,0.5657%
NVIDIA Corp,NVDA,0.557%
Walmart Inc,WMT,0.5552%
Netflix Inc,NFLX,0.5472%
McDonald's Corp,MCD,0.5428%
General Electric Co,GE,0.4987%
Amgen Inc,AMGN,0.4964%
Altria Group Inc,MO,0.495%
Honeywell International Inc,HON,0.4728%
Adobe Systems Inc,ADBE,0.4634%
Abbott Laboratories,ABT,0.4568%
Medtronic PLC,MDT,0.4563%
Union Pacific Corp,UNP,0.4532%
Bristol-Myers Squibb Co,BMY,0.4451%
Broadcom Ltd,AVGO,0.4409%
Texas Instruments Inc,TXN,0.4403%
Booking Holdings Inc,BKNG,0.4217%
Gilead Sciences Inc,GILD,0.4194%
United Technologies Corp,UTX,0.4078%
Accenture PLC,ACN,0.4019%
Schlumberger NV,SLB,0.3909%
PayPal Holdings Inc,PYPL,0.3835%
Caterpillar Inc,CAT,0.379%
Nike Inc,NKE,0.37%
Goldman Sachs Group Inc,GS,0.3634%
Lockheed Martin Corp,LMT,0.3624%
Thermo Fisher Scientific Inc,TMO,0.3584%
Qualcomm Inc,QCOM,0.3487%
Costco Wholesale Corp,COST,0.3471%
Salesforce.com Inc,CRM,0.3468%
U.S. Bancorp,USB,0.34%
Starbucks Corp,SBUX,0.3299%
Nextera Energy Inc,NEE,0.3276%
Eli Lilly and Co,LLY,0.3248%
Morgan Stanley,MS,0.3104%
United Parcel Service Inc,UPS,0.3081%
Time Warner Inc,TWX,0.3024%
ConocoPhillips,COP,0.2975%
PNC Financial Services Group Inc,PNC,0.2925%
Lowe's Companies Inc,LOW,0.2906%
Celgene Corp,CELG,0.2804%
American Tower Corp,AMT,0.2779%
Micron Technology Inc,MU,0.2757%
Raytheon Co,RTN,0.2746%
American Express Co,AXP,0.2741%
Charles Schwab Corp,SCHW,0.2731%
CVS Health Corp,CVS,0.2726%
EOG Resources Inc,EOG,0.2709%
Northrop Grumman Corp,NOC,0.2678%
Danaher Corp,DHR,0.2649%
BlackRock Inc,BLK,0.2632%
Chubb Ltd,CB,0.2628%
Colgate-Palmolive Co,CL,0.2625%
Applied Materials Inc,AMAT,0.2555%
Mondelez International Inc,MDLZ,0.2524%
Becton Dickinson and Co,BDX,0.2482%
Biogen Inc,BIIB,0.2453%
Aetna Inc,AET,0.2434%
General Dynamics Corp,GD,0.2432%
Walgreens Boots Alliance Inc,WBA,0.2424%
Allergan plc,AGN,0.2417%
FedEx Corp,FDX,0.2396%
Anthem Inc,ANTM,0.2396%
CME Group Inc,CME,0.2343%
Charter Communications Inc,CHTR,0.2314%
Duke Energy Corp,DUK,0.2304%
Occidental Petroleum Corp,OXY,0.2205%
Monsanto Co,MON,0.217%
Activision Blizzard Inc,ATVI,0.2154%
Simon Property Group Inc,SPG,0.2146%
American International Group Inc,AIG,0.2122%
TJX Companies Inc,TJX,0.2098%
Deere & Co,DE,0.2093%
S&P Global Inc,SPGI,0.2072%
Stryker Corp,SYK,0.2069%
Cognizant Technology Solutions Corp,CTSH,0.2055%
Bank of New York Mellon Corp,BK,0.2033%
Automatic Data Processing Inc,ADP,0.2023%
Intuitive Surgical Inc,ISRG,0.2016%
CSX Corp,CSX,0.201%
Illinois Tool Works Inc,ITW,0.2008%
Crown Castle International Corp,CCI,0.1994%
Capital One Financial Corp,COF,0.1991%
General Motors Co,GM,0.1954%
Dominion Energy Inc,D,0.1904%
Southern Co,SO,0.1902%
Phillips 66,PSX,0.1887%
Emerson Electric Co,EMR,0.1883%
Prudential Financial Inc,PRU,0.1864%
Intuit Inc,INTU,0.1831%
Tesla Inc,TSLA,0.1828%
Ford Motor Co,F,0.1814%
Intercontinental Exchange Inc,ICE,0.18%
Marsh & McLennan Companies Inc,MMC,0.179%
Vertex Pharmaceuticals Inc,VRTX,0.1788%
Praxair Inc,PX,0.1776%
Cigna Corp,CI,0.1767%
Valero Energy Corp,VLO,0.1751%
Express Scripts Holding Co,ESRX,0.1748%
BB&T Corp,BBT,0.1741%
Zoetis Inc,ZTS,0.171%
eBay Inc,EBAY,0.1685%
Twenty-First Century Fox Inc,FOXA,0.1679%
Norfolk Southern Corp,NSC,0.1647%
Electronic Arts Inc,EA,0.1636%
Target Corp,TGT,0.1623%
Kimberly-Clark Corp,KMB,0.1622%
MetLife Inc,MET,0.1618%
Kraft Heinz Co,KHC,0.1617%
Halliburton Co,HAL,0.1611%
Exelon Corp,EXC,0.16%
Boston Scientific Corp,BSX,0.1594%
Waste Management Inc,WM,0.1591%
Travelers Companies Inc,TRV,0.159%
Humana Inc,HUM,0.1586%
HP Inc,HPQ,0.1582%
Marriott International Inc,MAR,0.1577%
Constellation Brands Inc,STZ,0.1562%
Air Products and Chemicals Inc,APD,0.1543%
Marathon Petroleum Corp,MPC,0.1536%
Progressive Corp,PGR,0.1527%
Eaton Corporation PLC,ETN,0.1527%
Delta Air Lines Inc,DAL,0.1525%
Ecolab Inc,ECL,0.1514%
State Street Corp,STT,0.1514%
Illumina Inc,ILMN,0.1506%
TE Connectivity Ltd,TEL,0.15%
Aflac Inc,AFL,0.1489%
Aon PLC,AON,0.1478%
Baxter International Inc,BAX,0.1472%
Anadarko Petroleum Corp,APC,0.1451%
Analog Devices Inc,ADI,0.1447%
LyondellBasell Industries NV,LYB,0.1443%
Sherwin-Williams Co,SHW,0.1439%
Lam Research Corp,LRCX,0.1433%
American Electric Power Company Inc,AEP,0.1431%
Allstate Corp,ALL,0.1429%
Estee Lauder Companies Inc,EL,0.1404%
Johnson Controls International PLC,JCI,0.1399%
Prologis Inc,PLD,0.1397%
SunTrust Banks Inc,STI,0.1377%
Fidelity National Information Services Inc,FIS,0.1374%
Equinix Inc,EQIX,0.1353%
Sempra Energy,SRE,0.1321%
Southwest Airlines Co,LUV,0.1318%
Pioneer Natural Resources Co,PXD,0.1278%
ServiceNow Inc,NOW,0.1276%
Fiserv Inc,FISV,0.1273%
McKesson Corp,MCK,0.1264%
DXC Technology Co,DXC,0.1263%
Ross Stores Inc,ROST,0.126%
Autodesk Inc,ADSK,0.125%
Kinder Morgan Inc,KMI,0.1238%
Public Storage,PSA,0.1235%
HCA Healthcare Inc,HCA,0.1231%
Edwards Lifesciences Corp,EW,0.123%
Sysco Corp,SYY,0.1219%
Hewlett Packard Enterprise Co,HPE,0.1217%
PPG Industries Inc,PPG,0.1217%
